Id,Label,main_country,Type
6UCQYrcJ6wab6gnQ89OJFh,Headie One,Argentina,Artist
2FXC3k01G6Gw61bmprjgqS,Hozier,Australia,Artist
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Australia,Artist
3bO19AOone0ubCsfDXDtYt,Myles Smith,Australia,Artist
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,Canada,Artist
70kkdajctXSbqSMJbQO424,Kacey Musgraves,Australia,Artist
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,Australia,Artist
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Bulgaria,Artist
0C0XlULifJtAgn6ZNCW2eu,The Killers,Australia,Artist
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,Australia,Artist
10exVja0key0uqUkk6LJRT,Vance Joy,Australia,Artist
25uiPmTg16RbhZWAqwLBy5,Charli xcx,Australia,Artist
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Australia,Artist
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,Australia,Artist
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,Australia,Artist
2kS9NyuATpYwjeB93h24H5,Nina Chuba,Germany,Artist
1E8mXBWN7AXZCOPYbOky4J,Jazeek,Austria,Artist
3CJKkU0XuElRT1z8rEtIYg,Luciano,Austria,Artist
76dRoxKtDwYkgCQePok9cU,Miksu / Macloud,Austria,Artist
0JBdTCGs111JKKYfLqOEBa,Shirin David,Austria,Artist
3drqpTL4sQOckmAfF9i1wg,Summer Cem,Austria,Artist
7vohy1W7YNLxHynG44UFjS,Sampagne,Austria,Artist
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,Austria,Artist
1SnSPHBs8l5iAvoWF0aO05,FOURTY,Austria,Artist
13bDjug9N0pyv3ZUINjkDV,Bausa,Germany,Artist
5HK6QtizXJzCmoYTkvFRik,Ndotz,Austria,Artist
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,Austria,Artist
11p2E654TTU8e0nZWBR4AL,Mark Ambor,Austria,Artist
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,Austria,Artist
0rvjqX7ttXeg3mTy8Xscbt,Journey,Austria,Artist
5WUlDfRSoLAfcVSX1WnrxN,Sia,Austria,Artist
1fImPZoBVjmYrBFzCHh0N3,Souly,Austria,Artist
0xByDfltDVpk6LDsUMHyI2,Poshlaya Molly,Belarus,Artist
5xtbUYHaOycg6HIi10EZdV,FRIENDLY THUG 52 NGG,Belarus,Artist
5NMwoStnfHT4LdETlJSwDT,Big Baby Tape,Belarus,Artist
4jIvmo6hfAQ04NSOWPVVA3,кис-кис,Belarus,Artist
5B5qmrbTFvA7TAxWruuwbo,Aarne,Belarus,Artist
2hTmpvdwhpNZryOkwTisRW,Toxi$,Belarus,Artist
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,Thailand,Artist
3MdXrJWsbVzdn6fe5JYkSQ,Latto,Belarus,Artist
260kWe4y9lg7YFDsZBgsLv,zhanulka,Belarus,Artist
2z20q6EEfm6w6PiIKsgtb3,FACE,Belarus,Artist
0yp6xP5xe1qarfugfTixOK,Monetochka,Belarus,Artist
0E56Ncr2I37JQhW71UJALE,KRBK,Belarus,Artist
27kGBCjiz5OXojkKX4xQ6R,BUSHIDO ZHO,Belarus,Artist
4h8pGxEIOi7j4me1yhYxlD,LSP,Belarus,Artist
7K2PBAFUE98RKu30clhIms,Violetta Sokolova,Belarus,Artist
3vvLuXEEf7sl3izJcw0GIn,Skryptonite,Belarus,Artist
0XNKQFs2Ewb3y0VsFUFc5l,MORGENSHTERN,Belarus,Artist
0hAEtx2GQLtMTJj8qycHRr,xxxmanera,Belarus,Artist
4uWhcZCwuPopf6JGvwsN2B,ANIKV,Belarus,Artist
0ChMIwzbYxHbebgoPeETfV,Lida,Belarus,Artist
7bI1v9NGBBhq8iGfytctni,Squirrel Flower,Belarus,Artist
1nnaE1FllcW0TlDdPVmdPg,Scally Milano,Belarus,Artist
3I9Bd4StaxvFWPG9AAjlrO,uglystephan,Belarus,Artist
6iQqWcDg92kre5ykFLwqD8,Дайте танк (!),Belarus,Artist
