Source,Target,Weight
3vQ0GE3mI0dAaxIMYe5g7z,urbano latino,1
3vQ0GE3mI0dAaxIMYe5g7z,hip hop,1
3vQ0GE3mI0dAaxIMYe5g7z,trap,1
2Jb9jVnCpWkXtoGznFJ6bF,rap,1
2Jb9jVnCpWkXtoGznFJ6bF,hip hop,1
2Jb9jVnCpWkXtoGznFJ6bF,trap,1
6QVEWdYtBkaJcboEtH5FeB,cumbia,1
6QVEWdYtBkaJcboEtH5FeB,pop,1
04XdCDDrPnnqidaVBTOQjt,cumbia,1
04XdCDDrPnnqidaVBTOQjt,pop,1
1QZuAtDYNrk2QMogJulsyq,cumbia,1
1QZuAtDYNrk2QMogJulsyq,pop,1
6iYRN5eaz8LSxvwkhmwkRj,cumbia,1
6iYRN5eaz8LSxvwkhmwkRj,pop,1
6LZA6PhNCwUfHzqfpN1nYL,pop,1
3WMlRpW5JWuDI95TcEWt3r,pop,1
2x7PC78TmgqpEIjaGAZ0Oz,rap,1
2x7PC78TmgqpEIjaGAZ0Oz,urbano latino,1
2x7PC78TmgqpEIjaGAZ0Oz,hip hop,1
2x7PC78TmgqpEIjaGAZ0Oz,trap,1
716NhGYqD1jl2wI1Qkgq36,rap,1
716NhGYqD1jl2wI1Qkgq36,hip hop,1
716NhGYqD1jl2wI1Qkgq36,pop,1
716NhGYqD1jl2wI1Qkgq36,urbano latino,1
716NhGYqD1jl2wI1Qkgq36,trap,1
4m6ubhNsdwF4psNf3R8kwR,rap,1
4m6ubhNsdwF4psNf3R8kwR,urbano latino,1
4m6ubhNsdwF4psNf3R8kwR,hip hop,1
4m6ubhNsdwF4psNf3R8kwR,trap,1
2qWK8K2Jfh67UqtwY8tCW6,rap,1
2qWK8K2Jfh67UqtwY8tCW6,hip hop,1
2qWK8K2Jfh67UqtwY8tCW6,trap,1
7fT2Me47PQ8T7954PKrcwR,rap,1
7fT2Me47PQ8T7954PKrcwR,hip hop,1
7fT2Me47PQ8T7954PKrcwR,trap,1
6UCQYrcJ6wab6gnQ89OJFh,hip hop,1
2FXC3k01G6Gw61bmprjgqS,rock,1
2FXC3k01G6Gw61bmprjgqS,pop,1
69GGBxA162lTqCwzJG5jLp,pop,1
3bO19AOone0ubCsfDXDtYt,pop,1
40ZNYROS4zLfyyBSs2PGe2,country,1
70kkdajctXSbqSMJbQO424,country,1
2sil8z5kiy4r76CRTXxBCA,pop,1
2sil8z5kiy4r76CRTXxBCA,rock,1
0Y5tJX1MQlPlqiwlOH1tJY,rap,1
0Y5tJX1MQlPlqiwlOH1tJY,house,1
0C0XlULifJtAgn6ZNCW2eu,rock,1
08GQAI4eElDnROBrJRGE0X,rock,1
10exVja0key0uqUkk6LJRT,k-pop,1
10exVja0key0uqUkk6LJRT,pop,1
10exVja0key0uqUkk6LJRT,rock,1
