position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
11,DEGENERE 👑 (feat. benny blanco),"[7iK8PXO48WeuP03g8YR51W, 5CiGnKThu5ctn9pBxv7DGa]",0.744,0.709,6,-5.778,0,0.284,0.0501,0.0,0.0847,0.712,194.055,audio_features,0qeIFEGRQqHoaJtLCl0U73,spotify:track:0qeIFEGRQqHoaJtLCl0U73,https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73,https://api.spotify.com/v1/audio-analysis/0qeIFEGRQqHoaJtLCl0U73,130880,4,Colombia
12,Tu Boda,"[3l9G1G9MxH6DaRhwLklaf5, 0ys2OFYzWYB5hRDLCsBqxt]",0.694,0.651,6,-6.968,1,0.0784,0.496,1.4e-05,0.0787,0.471,112.648,audio_features,1cOboCuWYI2osTOfolMRS6,spotify:track:1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6,225881,3,Colombia
13,Ohnana,[3UTF2no3muGdiFXVujl94i],0.775,0.581,1,-3.621,0,0.108,0.617,8e-06,0.0957,0.658,104.977,audio_features,1fTjqf10accJCDYstPwwZ6,spotify:track:1fTjqf10accJCDYstPwwZ6,https://api.spotify.com/v1/tracks/1fTjqf10accJCDYstPwwZ6,https://api.spotify.com/v1/audio-analysis/1fTjqf10accJCDYstPwwZ6,156577,4,Colombia
14,Frente al Mar,[7a0XAaPaK2aDSqa8p3QnC7],0.75,0.682,10,-3.825,1,0.0945,0.168,1e-06,0.112,0.618,100.036,audio_features,60u6hcpH5Qm1M3xESdNBrB,spotify:track:60u6hcpH5Qm1M3xESdNBrB,https://api.spotify.com/v1/tracks/60u6hcpH5Qm1M3xESdNBrB,https://api.spotify.com/v1/audio-analysis/60u6hcpH5Qm1M3xESdNBrB,165178,4,Colombia
15,SORRY 4 THAT MUCH,[2LRoIwlKmHjgvigdNGBHNo],0.819,0.675,7,-4.281,1,0.0727,0.0318,0.0,0.289,0.602,92.99,audio_features,63pLfjK6FvcYJYMGwtHjd6,spotify:track:63pLfjK6FvcYJYMGwtHjd6,https://api.spotify.com/v1/tracks/63pLfjK6FvcYJYMGwtHjd6,https://api.spotify.com/v1/audio-analysis/63pLfjK6FvcYJYMGwtHjd6,207747,4,Colombia
16,Feliz Cumpleaños Ferxxo,[2LRoIwlKmHjgvigdNGBHNo],0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,audio_features,2CeKVsFFXG4QzA415QygGb,spotify:track:2CeKVsFFXG4QzA415QygGb,https://api.spotify.com/v1/tracks/2CeKVsFFXG4QzA415QygGb,https://api.spotify.com/v1/audio-analysis/2CeKVsFFXG4QzA415QygGb,155960,4,Colombia
17,PERRO NEGRO,"[4q3ewBCX7sLwd24euuV69X, 2LRoIwlKmHjgvigdNGBHNo]",0.911,0.778,5,-2.248,1,0.262,0.0887,2.2e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4,Colombia
18,Oe Bebé,"[1TA5sGRlKUJXBN4ZyJuDIX, 1r4hJ1h58CWwUQe3MxPuau]",0.751,0.739,9,-3.649,0,0.0789,0.133,0.0,0.141,0.795,94.065,audio_features,57pj5sOWSCAqZm088LMcE4,spotify:track:57pj5sOWSCAqZm088LMcE4,https://api.spotify.com/v1/tracks/57pj5sOWSCAqZm088LMcE4,https://api.spotify.com/v1/audio-analysis/57pj5sOWSCAqZm088LMcE4,186464,4,Colombia
19,Q U E V A S H A C E R H O Y ?,"[3E12tRURRvPfHz0hAMCFYc, 54seKvtsZauR1iauN0ptpo]",0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,audio_features,0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,223320,4,Colombia
20,FDSR,"[7j6DKwmjbxvpQO8h914uEz, 6B1hSmaLdOvChinK2Z7gfi]",0.798,0.656,0,-2.897,0,0.181,0.0163,9e-06,0.0917,0.658,175.926,audio_features,3KwYiawBfqngH7eaUHQn2N,spotify:track:3KwYiawBfqngH7eaUHQn2N,https://api.spotify.com/v1/tracks/3KwYiawBfqngH7eaUHQn2N,https://api.spotify.com/v1/audio-analysis/3KwYiawBfqngH7eaUHQn2N,188182,4,Colombia
