position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
14,I Wanna Be Yours,[7Ln80lUS6He07XvHI8qqHH],0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,audio_features,5XeFesFbtLpXzIVDNQP22n,spotify:track:5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n,183956,4,Kazakhstan
15,FUNK DO BOUNCE (Slowed),[09cKncAQn28NqTUORLMwSR],0.818,0.92,6,2.194,0,0.0716,0.111,0.00122,0.0879,0.793,110.449,audio_features,7IBqHkoP94VrgYKVns4eNz,spotify:track:7IBqHkoP94VrgYKVns4eNz,https://api.spotify.com/v1/tracks/7IBqHkoP94VrgYKVns4eNz,https://api.spotify.com/v1/audio-analysis/7IBqHkoP94VrgYKVns4eNz,107539,4,Kazakhstan
16,Расстояние,"[1nQdZyarkEApwhC24Ftdpk, 5TZ0uM0InXX4LtI8hTsXlv]",0.608,0.591,5,-5.312,0,0.0854,0.489,9e-06,0.0919,0.562,84.866,audio_features,0dY8qhMk6KOxw51j36GtlM,spotify:track:0dY8qhMk6KOxw51j36GtlM,https://api.spotify.com/v1/tracks/0dY8qhMk6KOxw51j36GtlM,https://api.spotify.com/v1/audio-analysis/0dY8qhMk6KOxw51j36GtlM,180718,4,Kazakhstan
17,Aman bolşy süigenım,"[47UTUDCdtoo8P4YQAq9uFr, 1e9PC6DAoGYlg0r6Q1VWcI]",0.59,0.612,6,-6.551,0,0.0425,0.548,0.0,0.115,0.655,129.935,audio_features,7fUNykZZgRQJU43CWZr2XU,spotify:track:7fUNykZZgRQJU43CWZr2XU,https://api.spotify.com/v1/tracks/7fUNykZZgRQJU43CWZr2XU,https://api.spotify.com/v1/audio-analysis/7fUNykZZgRQJU43CWZr2XU,188871,4,Kazakhstan
18,Saǵynamyn,[7aNi4lXLvcdKjZGIVbzdmu],0.694,0.556,8,-9.513,0,0.0789,0.731,3.5e-05,0.396,0.437,82.978,audio_features,3EiBbNPtVWgh1ovHwWES0w,spotify:track:3EiBbNPtVWgh1ovHwWES0w,https://api.spotify.com/v1/tracks/3EiBbNPtVWgh1ovHwWES0w,https://api.spotify.com/v1/audio-analysis/3EiBbNPtVWgh1ovHwWES0w,132168,4,Kazakhstan
19,Korkemim,[4CMquFsyU5t2qKaveFHv3B],0.682,0.548,9,-12.26,0,0.0454,0.43,0.0,0.14,0.711,76.025,audio_features,2knuxw8DMvP8iR8bNErIov,spotify:track:2knuxw8DMvP8iR8bNErIov,https://api.spotify.com/v1/tracks/2knuxw8DMvP8iR8bNErIov,https://api.spotify.com/v1/audio-analysis/2knuxw8DMvP8iR8bNErIov,187105,4,Kazakhstan
20,Umyttyń Ba?,"[0Qy71aidwpN3kMH1fG8cJt, 5Srmck3vhC1RB1hAhqUk3W]",0.758,0.572,4,-7.471,0,0.087,0.19,1.8e-05,0.146,0.488,115.021,audio_features,3TNk8XjUz6uC2VvWbt6ru5,spotify:track:3TNk8XjUz6uC2VvWbt6ru5,https://api.spotify.com/v1/tracks/3TNk8XjUz6uC2VvWbt6ru5,https://api.spotify.com/v1/audio-analysis/3TNk8XjUz6uC2VvWbt6ru5,173746,4,Kazakhstan
21,С тобой,"[6Z6djJ1zi15vWmODy2Qt08, 1nQdZyarkEApwhC24Ftdpk]",0.791,0.526,4,-7.468,0,0.0854,0.607,0.00084,0.333,0.42,155.995,audio_features,3g4l41KPIFXtylLRXruRdF,spotify:track:3g4l41KPIFXtylLRXruRdF,https://api.spotify.com/v1/tracks/3g4l41KPIFXtylLRXruRdF,https://api.spotify.com/v1/audio-analysis/3g4l41KPIFXtylLRXruRdF,225000,4,Kazakhstan
22,Slow Dancing,[3JsHnjpbhX4SnySpvpa9DK],0.579,0.63,8,-7.758,1,0.058,0.257,0.00462,0.0986,0.552,155.96,audio_features,5h1BN75CEh8wdSwE1xrbSe,spotify:track:5h1BN75CEh8wdSwE1xrbSe,https://api.spotify.com/v1/tracks/5h1BN75CEh8wdSwE1xrbSe,https://api.spotify.com/v1/audio-analysis/5h1BN75CEh8wdSwE1xrbSe,187027,4,Kazakhstan
23,Be Mine,[1oSPZhvZMIrWW5I41kPkkY],0.687,0.747,1,-5.496,0,0.0883,0.056,1e-06,0.11,0.56,66.495,audio_features,3LWVXp636uLT356Rj08Jaz,spotify:track:3LWVXp636uLT356Rj08Jaz,https://api.spotify.com/v1/tracks/3LWVXp636uLT356Rj08Jaz,https://api.spotify.com/v1/audio-analysis/3LWVXp636uLT356Rj08Jaz,207348,5,Kazakhstan
