id,label,popularity,followers,type,main_continent,mean_danceability,mean_energy,mean_loudness,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_liveness,mean_valence,mean_tempo
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86.0,18693277.0,Artist,Europe,0.6079411764705883,0.7791764705882354,-3.1395882352941173,0.03347058823529411,0.047341176470588234,0.015137294117647063,0.12305882352941178,0.38941176470588235,120.511
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86.0,3601728.0,Artist,Oceania,0.664,0.5,-6.935,0.0651,0.799,0.0,0.0966,0.801,117.896
78F6Xkd46aMHkr4AP60TXY,Clarent,71.0,146924.0,Artist,Europe,0.706,0.631,-5.812,0.0366,0.656,0.0,0.227,0.289,111.93
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,81.0,445692.0,Artist,South America,0.5733636363636365,0.6809545454545457,-6.255363636363637,0.22780909090909088,0.131,7.727272727272727e-07,0.12781818181818183,0.38818181818181813,151.57218181818186
54seKvtsZauR1iauN0ptpo,De La Rose,79.0,314448.0,Artist,South America,0.6048148148148149,0.6494444444444446,-6.157740740740741,0.19343703703703702,0.1658888888888889,6.296296296296296e-07,0.12175555555555555,0.38485185185185183,142.8454814814815
30Ml7nTMkXYyb0UoLwtmCc,Los Diozes,62.0,50058.0,Artist,Europe,0.543,0.587,-7.709,0.497,0.786,0.0,0.626,0.723,174.075
7iK8PXO48WeuP03g8YR51W,Myke Towers,90.0,17456320.0,Artist,Europe,0.7014999999999999,0.71762,-4.823999999999999,0.18057800000000002,0.17230800000000002,0.0015656799999999998,0.134936,0.6227800000000001,137.10686
5CiGnKThu5ctn9pBxv7DGa,benny blanco,79.0,1252138.0,Artist,Europe,0.744,0.709,-5.7780000000000005,0.284,0.050100000000000006,0.0,0.0847,0.712,194.05499999999998
0CVOcYvRcSvOXyuR4YGKaC,Dani Fernández,69.0,263822.0,Artist,Europe,0.665,0.544,-3.648,0.115,0.0129,0.0,0.0752,0.625,163.948
2tmrdVbpFzIVIOcqxvErj2,Los Sufridos,62.0,8269.0,Artist,Europe,0.74,0.738,-6.495,0.0495,0.0756,0.0015,0.0557,0.908,158.026
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,75.0,1862040.0,Artist,Europe,0.74,0.738,-6.495,0.0495,0.0756,0.0015,0.0557,0.908,158.026
0EmeFodog0BfCgMzAIvKQp,Shakira,88.0,35631318.0,Artist,Europe,0.8409999999999999,0.7520000000000001,-4.735,0.105,0.16699999999999998,0.0004600000000000001,0.949,0.67,100.07600000000001
37S0GFsBW73uqxGXNFeADJ,Ghost Killer Track,61.0,40671.0,Artist,Europe,0.778,0.503,-7.772,0.218,0.415,0.0,0.108,0.517,146.125
0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,72.0,2940322.0,Artist,Europe,0.778,0.503,-7.772,0.218,0.415,0.0,0.108,0.517,146.125
0FwnPHExlRRxEZPLAi5tmG,JC Reyes,76.0,1013258.0,Artist,Europe,0.7022857142857143,0.7837142857142857,-4.341285714285714,0.05655714285714286,0.2988571428571429,0.006795714285714286,0.23447142857142853,0.4566571428571428,114.598
4RWJOoYwgF978LOn8Fainp,Yami Safdie,71.0,331415.0,Artist,Europe,0.45899999999999996,0.162,-11.634,0.0425,0.929,0.0,0.137,0.483,184.784
3SCOuAxngTC1yGjKMcIPEd,Lasso,72.0,883128.0,Artist,Europe,0.45899999999999996,0.162,-11.634,0.0425,0.929,0.0,0.137,0.483,184.784
