artists,followers,genres,name,popularity,country
0PCCGZ0wGLizHt2KZ7hhA2,1023925,,Artemas,79,United Kingdom
1Xyo4u8uXC1ZmMpatF05PJ,95571651,"canadian contemporary r&b, canadian pop, pop",The Weeknd,96,United Kingdom
699OTQXzgjhIYAHMy9RyPD,12429644,"atl hip hop, plugg, pluggnb, rage rap, rap",Playboi Carti,90,United Kingdom
6qqNVTkY8uBg9cP3Jd7DAH,103248986,"art pop, pop",Billie Eilish,96,United Kingdom
0Y5tJX1MQlPlqiwlOH1tJY,34999351,"rap, slap house",Travis Scott,94,Switzerland
699OTQXzgjhIYAHMy9RyPD,12429644,"atl hip hop, plugg, pluggnb, rage rap, rap",Playboi Carti,90,Ukraine
6XyY86QOPPrYVGvF9ch6wz,27864882,"alternative metal, nu metal, post-grunge, rap metal, rock",Linkin Park,93,Slovakia
1Xyo4u8uXC1ZmMpatF05PJ,95571651,"canadian contemporary r&b, canadian pop, pop",The Weeknd,96,Ukraine
7FNnA9vBm6EKceENgCGRMb,12810974,"funk pop, funk rj, pagode baiano, pop, pop nacional",Anitta,83,Switzerland
7o95ZoZt5ZYn31e9z1Hc0a,1835278,"dance pop, pop, post-teen pop",Natasha Bedingfield,75,United Kingdom
3y2cIKLjiOlp1Np37WiUdH,836821,"modern country pop, pop rap",Shaboozey,80,United Kingdom
7rBed6Ya7Hwa2fXbh5btJE,197354,,LACAZETTE,73,Germany
1oSPZhvZMIrWW5I41kPkkY,9648243,k-pop,Jimin,88,Romania
1SnSPHBs8l5iAvoWF0aO05,74060,"german hip hop, german r&b, german trap",FOURTY,63,Germany
13bDjug9N0pyv3ZUINjkDV,1098087,german hip hop,Bausa,70,Germany
61vhXXSO0lkbxFvnXHx8QP,595,,CHEKAA,60,Germany
5HK6QtizXJzCmoYTkvFRik,144811,chill drill,Ndotz,73,United Kingdom
5p7mWeX4RlvqBCxylfiXdE,1184796,"german drill, german hip hop",KC Rebell,65,Switzerland
77SW9BnxLY8rJ0RciFqkHh,18733495,"modern alternative rock, modern rock, pop",The Neighbourhood,86,Ukraine
11p2E654TTU8e0nZWBR4AL,542644,singer-songwriter pop,Mark Ambor,76,Switzerland
0eVixEZVW2PB1UogwTWXc1,191033,,Berq,70,Germany
0wi4yTYlGtEnbGo4ltZTib,162025,"classic uk pop, rockabilly",Shakin' Stevens,69,Austria
74KM79TiuVKeVCqs8QtB0B,15813718,pop,Sabrina Carpenter,94,United Kingdom
33qOK5uJ8AR2xuQQAhHump,3506837,,Teddy Swims,87,Switzerland
2FXC3k01G6Gw61bmprjgqS,8129054,"irish singer-songwriter, modern rock, pop, pov: indie",Hozier,86,United Kingdom
0rvjqX7ttXeg3mTy8Xscbt,5848087,"album rock, classic rock, hard rock, mellow gold, rock, soft rock",Journey,76,Ireland
7Ez6lTtSMjMf2YSYpukP1I,265453,,Dasha,76,United Kingdom
5WUlDfRSoLAfcVSX1WnrxN,29018894,pop,Sia,87,Norway
1fImPZoBVjmYrBFzCHh0N3,118940,german hip hop,Souly,69,Germany
7rBed6Ya7Hwa2fXbh5btJE,197354,,LACAZETTE,73,Germany
11kt6ggsdxvI8MhyeSMKom,301441,,CYRIL,80,Switzerland
3bO19AOone0ubCsfDXDtYt,834516,singer-songwriter pop,Myles Smith,80,United Kingdom
6XyY86QOPPrYVGvF9ch6wz,27864882,"alternative metal, nu metal, post-grunge, rap metal, rock",Linkin Park,93,Luxembourg
2txHhyCwHjUEpJjWrEyqyX,4050804,chill pop,Tom Odell,80,Netherlands
10exVja0key0uqUkk6LJRT,3222226,"folk-pop, modern rock",Vance Joy,78,United Kingdom
49e4v89VmlDcFCMyDv9wQ9,1780527,"adult standards, easy listening, lounge, vocal jazz",Dean Martin,80,Austria
66CXWjxzNUsdJxJ2JdwvnR,101554637,pop,Ariana Grande,95,Denmark
1oSPZhvZMIrWW5I41kPkkY,9648243,k-pop,Jimin,88,Latvia
5ByAEWetNZ95GufzBSOkc3,43957,,fallen777angel,61,Ukraine
3JsHnjpbhX4SnySpvpa9DK,19204295,"j-division, korean ost",V,84,Slovakia
1oSPZhvZMIrWW5I41kPkkY,9648243,k-pop,Jimin,88,Latvia
0xByDfltDVpk6LDsUMHyI2,1668779,"russian alt pop, russian electronic",Poshlaya Molly,66,Ukraine
4anb8rmk0xipuQP6QZ5IlH,59888,,FORTUNA 812,61,Ukraine
5xtbUYHaOycg6HIi10EZdV,220443,russian hip hop,FRIENDLY THUG 52 NGG,64,Ukraine
0TO6y1x0LQodwBnxGtQu9o,773812,russian drain,shadowraze,58,Ukraine
1oSPZhvZMIrWW5I41kPkkY,9648243,k-pop,Jimin,88,Czech Republic
3JsHnjpbhX4SnySpvpa9DK,19204295,"j-division, korean ost",V,84,Belarus
5NMwoStnfHT4LdETlJSwDT,1484950,"russian hip hop, russian trap",Big Baby Tape,65,Belarus
4jIvmo6hfAQ04NSOWPVVA3,418263,"russian alt pop, russian punk",кис-кис,52,Ukraine
5NMwoStnfHT4LdETlJSwDT,1484950,"russian hip hop, russian trap",Big Baby Tape,65,Belarus
5B5qmrbTFvA7TAxWruuwbo,193297,"russian hip hop, russian viral rap",Aarne,63,Belarus
2hTmpvdwhpNZryOkwTisRW,471786,"russian hip hop, russian plugg",Toxi$,61,Belarus
6HaGTQPmzraVmaVxvz6EUc,16595657,k-pop,Jung Kook,87,Lithuania
1oSPZhvZMIrWW5I41kPkkY,9648243,k-pop,Jimin,88,Bulgaria
0xByDfltDVpk6LDsUMHyI2,1668779,"russian alt pop, russian electronic",Poshlaya Molly,66,Ukraine
5NMwoStnfHT4LdETlJSwDT,1484950,"russian hip hop, russian trap",Big Baby Tape,65,Belarus
5B5qmrbTFvA7TAxWruuwbo,193297,"russian hip hop, russian viral rap",Aarne,63,Belarus
6HaGTQPmzraVmaVxvz6EUc,16595657,k-pop,Jung Kook,87,Belarus
3MdXrJWsbVzdn6fe5JYkSQ,1839521,trap queen,Latto,80,Lithuania
0qyv7OappGDi0OyJxcqpVt,8279,,KRISTIEE,53,Ukraine
5GTZUVrKf86Aco9LJQquxc,31674,,mapt0v,61,Ukraine
0xByDfltDVpk6LDsUMHyI2,1668779,"russian alt pop, russian electronic",Poshlaya Molly,66,Ukraine
0oSMgGNMeXe3HJAXEJrqL8,1653,,YungMeechy,44,Belarus
260kWe4y9lg7YFDsZBgsLv,190904,russian alt pop,zhanulka,55,Ukraine
6Tv4ZrZbgUMcXAMv0d1VQM,11604,,fleurnothappy,55,Ukraine
6Tv4ZrZbgUMcXAMv0d1VQM,11604,,fleurnothappy,55,Ukraine
1jUPTaRiy2sOdOhvIEUosG,112844,,ENINA,52,Ukraine
2z20q6EEfm6w6PiIKsgtb3,1834227,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap",FACE,64,Ukraine
2z20q6EEfm6w6PiIKsgtb3,1834227,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap",FACE,64,Ukraine
0yp6xP5xe1qarfugfTixOK,977515,"russian alt pop, russian electronic, russian pop",Monetochka,59,Belarus
0Kwx9LPnkelacgHzRI8vxl,96655,,Jakone,60,Belarus
1EDrjPOlEjmbzjbet1DxTN,2864,,Kiliana,55,Belarus
0xByDfltDVpk6LDsUMHyI2,1668779,"russian alt pop, russian electronic",Poshlaya Molly,66,Belarus
0E56Ncr2I37JQhW71UJALE,352484,"russian gangster rap, russian hip hop",KRBK,62,Ukraine
4anb8rmk0xipuQP6QZ5IlH,59888,,FORTUNA 812,61,Belarus
6oiinpr7kwRmyWKVDTZgRT,39444,belarusian indie,AP$ENT,51,Belarus
5B5qmrbTFvA7TAxWruuwbo,193297,"russian hip hop, russian viral rap",Aarne,63,Belarus
27kGBCjiz5OXojkKX4xQ6R,459127,"russian drill, russian hip hop, russian trap",BUSHIDO ZHO,61,Belarus
4h8pGxEIOi7j4me1yhYxlD,1228382,"belarusian hip hop, russian alt pop, russian hip hop",LSP,60,Belarus
7K2PBAFUE98RKu30clhIms,38738,ukrainian viral pop,Violetta Sokolova,48,Ukraine
5xtbUYHaOycg6HIi10EZdV,220443,russian hip hop,FRIENDLY THUG 52 NGG,64,Belarus
3vvLuXEEf7sl3izJcw0GIn,2909868,"central asian hip hop, kazakh hip hop, russian hip hop, russian trap",Skryptonite,64,Belarus
0P9E2MHee0cXNpIeAvFAt1,53666,,БРЕДИШЬ,50,Belarus
6oTirjGdJPFt3hycC1Rfxb,46912,,Xolidayboy,52,Belarus
1oSPZhvZMIrWW5I41kPkkY,9648243,k-pop,Jimin,88,Bulgaria
