artists,followers,genres,name,popularity,country
0AqlFI0tz2DsEoJlKSIiT9,3856979,pop argentino,Emilia,81,Paraguay
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Ecuador
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Chile
6UCQYrcJ6wab6gnQ89OJFh,617605,uk hip hop,Headie One,68,Argentina
1Yj5Xey7kTwvZla8sqdsdE,4438239,"mambo chileno, trap latino, urbano chileno, urbano latino",Cris Mj,87,Uruguay
7CvTknweLr9feJtRGrpDBy,1184551,reggaeton chileno,FloyyMenor,84,Uruguay
6uzHLlGqFKaXYOnZyYmXYg,28243,,LOUKI,72,Uruguay
7yIp2QRLkQ6loIrupimiri,40960,cumbia pop,Pinky SD,78,Argentina
2Mt2vBBEckrvXtg0JldwZ0,178147,,Un Poco de Ruido,78,Argentina
5Qv1EsPany9Fc3yyCJnoxw,195821,cumbia santafesina,Uriel Lozano,71,Argentina
0AqlFI0tz2DsEoJlKSIiT9,3856979,pop argentino,Emilia,81,Chile
7vXDAI8JwjW531ouMGbfcp,8544429,"latin pop, latin viral pop, pop argentino",TINI,79,Argentina
7yIp2QRLkQ6loIrupimiri,40960,cumbia pop,Pinky SD,78,Argentina
2Mt2vBBEckrvXtg0JldwZ0,178147,,Un Poco de Ruido,78,Argentina
5Qv1EsPany9Fc3yyCJnoxw,195821,cumbia santafesina,Uriel Lozano,71,Argentina
7yIp2QRLkQ6loIrupimiri,40960,cumbia pop,Pinky SD,78,Argentina
2Mt2vBBEckrvXtg0JldwZ0,178147,,Un Poco de Ruido,78,Argentina
0pelomsVlROuivdE2RgeDU,16228,,El Mago Y La Nueva,64,Argentina
3l9G1G9MxH6DaRhwLklaf5,3405181,corrido,Oscar Maydon,88,Venezuela
0ys2OFYzWYB5hRDLCsBqxt,12711223,"corrido, corridos tumbados, sad sierreno, sierreno",Fuerza Regida,91,Venezuela
5Y3MV9DZ0d87NnVm56qSY1,5468992,"trap argentino, trap latino, urbano latino",Tiago PZK,80,Peru
06Q5VlSAku57lFzyME3HrM,4052740,cumbia pop,Ke Personajes,78,Peru
7iK8PXO48WeuP03g8YR51W,17456320,"reggaeton, trap latino, urbano latino",Myke Towers,90,Uruguay
5CiGnKThu5ctn9pBxv7DGa,1252138,pop,benny blanco,79,Uruguay
1HY2Jd0NmPuamShAr6KMms,33083714,"art pop, dance pop, pop",Lady Gaga,92,Venezuela
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,Venezuela
790FomKkXshlbRYZFtlgla,52495430,"reggaeton, reggaeton colombiano, urbano latino",KAROL G,91,Venezuela
2LRoIwlKmHjgvigdNGBHNo,14984288,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",Feid,92,Venezuela
