Id,Label,Popularity,Followers,Type
55ru5B05MMBunM1tvH7Di6,Valentino Merlo,74,267286,artist
1FxPMQ9A0882eNDx3ZkD6B,La T y La M,71,821608,artist
6Gsh7oJoJ5EQUuQk0EhfWL,Malandro,63,62275,artist
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,82,7258191,artist
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,79,7886635,artist
06Q5VlSAku57lFzyME3HrM,Ke Personajes,78,4052740,artist
4oZolC0sCwCAKqsNXfRlVS,The La Planta,73,471202,artist
7yIp2QRLkQ6loIrupimiri,Pinky SD,78,40960,artist
2Mt2vBBEckrvXtg0JldwZ0,Un Poco de Ruido,78,178147,artist
5Qv1EsPany9Fc3yyCJnoxw,Uriel Lozano,71,195821,artist
6HTUcOExehqydqa7C3usAa,Abel Pintos,70,3505565,artist
60XHOAhvEBiV6BGBOv8ClM,La Joaqui,73,1989837,artist
19HM5j0ULGSmEoRcrSe5x3,Milo j,83,5336010,artist
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,80,7869075,artist
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,79,24350891,artist
2Jb9jVnCpWkXtoGznFJ6bF,ECKO,66,1332757,artist
6QVEWdYtBkaJcboEtH5FeB,Los Turros,59,173241,artist
2eXWodjj5K1vVq2CSjl036,DobleP,68,219203,artist
1NtRGHzfJ8H7dENIXu1tdk,Cristian Di Marco,63,88,artist
04XdCDDrPnnqidaVBTOQjt,Hernan y La Champion's Liga,60,134194,artist
6GRwwWAtmusrgAL5JF9Dfr,Callejero Fino,67,1789146,artist
7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,75,1308474,artist
1QZuAtDYNrk2QMogJulsyq,Karina,66,651671,artist
6iYRN5eaz8LSxvwkhmwkRj,j mena,60,498842,artist
6LZA6PhNCwUfHzqfpN1nYL,Angela Torres,61,203679,artist
7jAs1uPnpfNmT6e5qtEPxq,ATL Jacob,74,68374,artist
3WMlRpW5JWuDI95TcEWt3r,Salastkbron,69,604098,artist
5xIOUIBQhGFX7HIj8lhdyU,Omar Varela,71,88347,artist
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,79,8106559,artist
1H6X7yhnXZg73f9bssaj1Q,Judeline,70,130522,artist
716NhGYqD1jl2wI1Qkgq36,Bizarrap,82,17017536,artist
4m6ubhNsdwF4psNf3R8kwR,KHEA,78,5832526,artist
7rFHoDuiSlV0DGHxckjm89,Lia Kali,68,179152,artist
7CvTknweLr9feJtRGrpDBy,FloyyMenor,84,1184551,artist
2qWK8K2Jfh67UqtwY8tCW6,YSY A,77,3396522,artist
7fT2Me47PQ8T7954PKrcwR,Bhavi,70,1524000,artist
5Zk54wioCsUtq5ggUWXqlK,Tuti DJ,54,48777,artist
0sE8WmITfzXJwYGdtbo8B0,Pereiraremix,57,57588,artist
6UCQYrcJ6wab6gnQ89OJFh,Headie One,68,617605,artist
6uzHLlGqFKaXYOnZyYmXYg,LOUKI,72,28243,artist
0pelomsVlROuivdE2RgeDU,El Mago Y La Nueva,64,16228,artist
7Ez6lTtSMjMf2YSYpukP1I,Dasha,76,264069,artist
2FXC3k01G6Gw61bmprjgqS,Hozier,86,8109432,artist
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,83,20668786,artist
3bO19AOone0ubCsfDXDtYt,Myles Smith,80,831041,artist
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,90,5606988,artist
70kkdajctXSbqSMJbQO424,Kacey Musgraves,77,1508348,artist
