132,Palau,Top 50 - Mexico,37i9dQZEVXbO3qyFxbkOE1,spotify,Spotify
133,Panama,Top 50 - Panama,37i9dQZEVXbKypXHVwk1f0,spotify,Spotify
134,Papua New Guinea,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
135,Paraguay,Top 50 - Paraguay,37i9dQZEVXbNOUPGj7tW6T,spotify,Spotify
136,Peru,Top 50 - Peru,37i9dQZEVXbJfdy5b0KP7W,spotify,Spotify
137,Philippines,Top 50 - Philippines,37i9dQZEVXbNBz9cRCSFkY,spotify,Spotify
138,Poland,Top 50 - Poland,37i9dQZEVXbN6itCcaL3Tt,spotify,Spotify
139,Portugal,None,None,None,None
140,Qatar,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
141,Romania,Top 50 - Romania,37i9dQZEVXbNZbJ6TZelCq,spotify,Spotify
142,Russia,Top 50 - Russia,6qv7CRaZr9nJaamM8Xtrv6,imdaonerus$$,Secret Sauce RU
143,Rwanda,Best Rwandan songs of 2020,1mfWz5vV9heye5Se4huuDe,bit51tw9dbkd9bot36tbcrwhd,Only AfroMusic
144,Saint Kitts and Nevis,Hot Hits USA,37i9dQZF1DX0kbJZpiYdZl,spotify,Spotify
145,Saint Lucia,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
146,Saint Vincent and the Grenadines,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
147,Samoa,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
148,San Marino,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
149,Sao Tome and Principe,Top 50 - Spain,37i9dQZEVXbNFJfN1Vw8d9,spotify,Spotify
150,Saudi Arabia,Top 50 - Saudi Arabia,37i9dQZEVXbLrQBcXqUtaC,spotify,Spotify
151,Senegal,None,None,None,None
152,Serbia,Serbia 2024 | TOP 50,11GT6QDN3SgjYYZgW9AzM5,x9uqoaxrtq1flneitrkvggrfh,sense.
153,Seychelles,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
154,Sierra Leone,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
155,Singapore,Top 50 - Singapore,37i9dQZEVXbK4gjvS1FjPY,spotify,Spotify
156,Slovakia,Top 50 - Slovakia,37i9dQZEVXbKIVTPX9a2Sb,spotify,Spotify
157,Slovenia,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
158,Solomon Islands,None,None,None,None
159,Somalia,None,None,None,None
160,South Africa,Top 50 - South Africa,37i9dQZEVXbMH2jvi6jvjk,spotify,Spotify
