Source,Target,Weight
3vQ0GE3mI0dAaxIMYe5g7z,Uruguay,1
2Jb9jVnCpWkXtoGznFJ6bF,Uruguay,1
6QVEWdYtBkaJcboEtH5FeB,Uruguay,1
2eXWodjj5K1vVq2CSjl036,Uruguay,1
1NtRGHzfJ8H7dENIXu1tdk,Uruguay,1
04XdCDDrPnnqidaVBTOQjt,Uruguay,1
6GRwwWAtmusrgAL5JF9Dfr,Uruguay,1
7dlkBH23ERFXxuNoMHq94Y,Argentina,2
55ru5B05MMBunM1tvH7Di6,Paraguay,1
1QZuAtDYNrk2QMogJulsyq,Uruguay,1
6iYRN5eaz8LSxvwkhmwkRj,Uruguay,1
6LZA6PhNCwUfHzqfpN1nYL,Uruguay,1
7jAs1uPnpfNmT6e5qtEPxq,Venezuela,1
3WMlRpW5JWuDI95TcEWt3r,Uruguay,1
5xIOUIBQhGFX7HIj8lhdyU,Argentina,1
2x7PC78TmgqpEIjaGAZ0Oz,Uruguay,1
1JbemQ1fPt2YmSLjAFhPBv,Argentina,1
1H6X7yhnXZg73f9bssaj1Q,Uruguay,1
3UTF2no3muGdiFXVujl94i,Uruguay,1
716NhGYqD1jl2wI1Qkgq36,Uruguay,1
4kcQWQDK0u9AftVSpdrAgk,Argentina,7
4m6ubhNsdwF4psNf3R8kwR,Uruguay,1
1bAftSH8umNcGZ0uyV7LMg,Spain,2
7rFHoDuiSlV0DGHxckjm89,Argentina,1
0EmeFodog0BfCgMzAIvKQp,Uruguay,1
7CvTknweLr9feJtRGrpDBy,Uruguay,2
2qWK8K2Jfh67UqtwY8tCW6,Uruguay,1
7fT2Me47PQ8T7954PKrcwR,Uruguay,1
2eXWodjj5K1vVq2CSjl036,Argentina,2
5Zk54wioCsUtq5ggUWXqlK,Argentina,1
0sE8WmITfzXJwYGdtbo8B0,Argentina,1
1bAftSH8umNcGZ0uyV7LMg,Peru,1
5TP8Ubo4jLKEi4Mw2O8fAk,Argentina,2
0AqlFI0tz2DsEoJlKSIiT9,Chile,1
1bAftSH8umNcGZ0uyV7LMg,Paraguay,1
1bAftSH8umNcGZ0uyV7LMg,Panama,1
6UCQYrcJ6wab6gnQ89OJFh,Argentina,1
1Yj5Xey7kTwvZla8sqdsdE,Switzerland,1
6uzHLlGqFKaXYOnZyYmXYg,Uruguay,1
0AqlFI0tz2DsEoJlKSIiT9,Bolivia,1
7vXDAI8JwjW531ouMGbfcp,Argentina,1
0pelomsVlROuivdE2RgeDU,Argentina,1
4tuJ0bMpJh08umKkEXKUI5,Switzerland,1
3eVa5w3URK5duf6eyVDbu9,Venezuela,1
1HY2Jd0NmPuamShAr6KMms,Ukraine,1
0du5cEVh5yTK9QJze8zA0C,United Kingdom,2
3y2cIKLjiOlp1Np37WiUdH,Switzerland,1
1iCnM8foFssWlPRLfAbIwo,Sweden,1
74KM79TiuVKeVCqs8QtB0B,Ukraine,1
4gzpq5DPGxSnKTe4SA8HAU,Singapore,1
246dkjvS1zLTtiykXe5h60,Sweden,1
1Xyo4u8uXC1ZmMpatF05PJ,Ukraine,2
699OTQXzgjhIYAHMy9RyPD,Ukraine,1
7Ez6lTtSMjMf2YSYpukP1I,United Kingdom,1
4tuJ0bMpJh08umKkEXKUI5,Sweden,1
4gzpq5DPGxSnKTe4SA8HAU,Philippines,1
74KM79TiuVKeVCqs8QtB0B,Taiwan,2
2FXC3k01G6Gw61bmprjgqS,United Kingdom,1
69GGBxA162lTqCwzJG5jLp,New Zealand,1
4gzpq5DPGxSnKTe4SA8HAU,New Zealand,3
3bO19AOone0ubCsfDXDtYt,United Kingdom,1
2RQXRUsr4IW1f3mKyKsy4B,New Zealand,1
2FXC3k01G6Gw61bmprjgqS,Switzerland,1
40ZNYROS4zLfyyBSs2PGe2,Sweden,1
2tIP7SsRs7vjIcLrU85W8J,Norway,1
6qqNVTkY8uBg9cP3Jd7DAH,Ukraine,1
40ZNYROS4zLfyyBSs2PGe2,Norway,1
70kkdajctXSbqSMJbQO424,Sweden,1
22wbnEMDvgVIAGdFeek6ET,Switzerland,1
2sil8z5kiy4r76CRTXxBCA,United Kingdom,1
7GlBOeep6PqTfFi59PTUUN,Switzerland,1
4V8LLVI7PbaPR0K2TGSxFF,Lithuania,1
20wkVLutqVOYrc0kxFs7rA,Philippines,2
0Y5tJX1MQlPlqiwlOH1tJY,Switzerland,1
699OTQXzgjhIYAHMy9RyPD,Switzerland,2
0C0XlULifJtAgn6ZNCW2eu,United Kingdom,1
40ZNYROS4zLfyyBSs2PGe2,New Zealand,2
6kbR2eL4hecj3rFwGOsYsI,United Kingdom,1
20rKUmFZsfv9GBXiv6R9d6,United Kingdom,1
2UNjfzEkfsdWVDwnuD6vdH,United Kingdom,1
4j96cMcT8GRi11qbvo1cLQ,United Kingdom,1
08GQAI4eElDnROBrJRGE0X,United Kingdom,1
10exVja0key0uqUkk6LJRT,United Kingdom,1
25uiPmTg16RbhZWAqwLBy5,United Kingdom,1
6qqNVTkY8uBg9cP3Jd7DAH,Thailand,1
06HL4z0CvFAxyc27GXpf02,United Kingdom,1
4gzpq5DPGxSnKTe4SA8HAU,Netherlands,1
4gvjmrtzydbMpyJaXUtwvP,United Kingdom,1
4oUHIQIBe0LHzYfvXNW4QM,Norway,2
1WaFQSHVGZQJTbf0BdxdNo,New Zealand,1
0PCCGZ0wGLizHt2KZ7hhA2,United Kingdom,1
4gzpq5DPGxSnKTe4SA8HAU,Malaysia,1
4tuJ0bMpJh08umKkEXKUI5,Slovakia,1
1HY2Jd0NmPuamShAr6KMms,Thailand,1
1iCnM8foFssWlPRLfAbIwo,Slovakia,1
2kS9NyuATpYwjeB93h24H5,Switzerland,1
3eVa5w3URK5duf6eyVDbu9,United Kingdom,1
0du5cEVh5yTK9QJze8zA0C,Ukraine,2
6qqNVTkY8uBg9cP3Jd7DAH,Taiwan,1
1E8mXBWN7AXZCOPYbOky4J,Switzerland,2
4iHNK0tOyZPYnBU7nGAgpQ,Switzerland,1
5lpH0xAS4fVfLkACg9DAuM,Switzerland,1
7rBed6Ya7Hwa2fXbh5btJE,Germany,4
3CJKkU0XuElRT1z8rEtIYg,Switzerland,1
76dRoxKtDwYkgCQePok9cU,Switzerland,1
0JBdTCGs111JKKYfLqOEBa,Germany,2
3drqpTL4sQOckmAfF9i1wg,Switzerland,1
72y6W9pGy97xTM44dwy3F6,Switzerland,1
7vohy1W7YNLxHynG44UFjS,Germany,1
22wbnEMDvgVIAGdFeek6ET,Sweden,1
7GlBOeep6PqTfFi59PTUUN,Sweden,1
0PCCGZ0wGLizHt2KZ7hhA2,Ukraine,1
6qqNVTkY8uBg9cP3Jd7DAH,Switzerland,2
0Y5tJX1MQlPlqiwlOH1tJY,Slovakia,1
699OTQXzgjhIYAHMy9RyPD,Slovakia,2
6XyY86QOPPrYVGvF9ch6wz,Slovakia,1
1Xyo4u8uXC1ZmMpatF05PJ,Switzerland,2
7FNnA9vBm6EKceENgCGRMb,Switzerland,1
7o95ZoZt5ZYn31e9z1Hc0a,United Kingdom,1
3y2cIKLjiOlp1Np37WiUdH,Sweden,1
1oSPZhvZMIrWW5I41kPkkY,Venezuela,1
1SnSPHBs8l5iAvoWF0aO05,Germany,1
13bDjug9N0pyv3ZUINjkDV,Germany,2
61vhXXSO0lkbxFvnXHx8QP,Germany,1
5HK6QtizXJzCmoYTkvFRik,United Kingdom,1
5p7mWeX4RlvqBCxylfiXdE,Switzerland,1
77SW9BnxLY8rJ0RciFqkHh,Switzerland,1
11p2E654TTU8e0nZWBR4AL,Switzerland,1
0eVixEZVW2PB1UogwTWXc1,Germany,1
0wi4yTYlGtEnbGo4ltZTib,Austria,1
74KM79TiuVKeVCqs8QtB0B,Switzerland,1
2FXC3k01G6Gw61bmprjgqS,Singapore,1
0rvjqX7ttXeg3mTy8Xscbt,New Zealand,1
7Ez6lTtSMjMf2YSYpukP1I,Switzerland,1
5WUlDfRSoLAfcVSX1WnrxN,Pakistan,1
1fImPZoBVjmYrBFzCHh0N3,Germany,1
11kt6ggsdxvI8MhyeSMKom,Switzerland,2
3bO19AOone0ubCsfDXDtYt,Switzerland,1
6XyY86QOPPrYVGvF9ch6wz,Luxembourg,3
2txHhyCwHjUEpJjWrEyqyX,Netherlands,1
10exVja0key0uqUkk6LJRT,Switzerland,1
49e4v89VmlDcFCMyDv9wQ9,Austria,1
66CXWjxzNUsdJxJ2JdwvnR,Denmark,1
1oSPZhvZMIrWW5I41kPkkY,Thailand,1
5ByAEWetNZ95GufzBSOkc3,Ukraine,1
3JsHnjpbhX4SnySpvpa9DK,Vietnam,1
1oSPZhvZMIrWW5I41kPkkY,Taiwan,1
0xByDfltDVpk6LDsUMHyI2,Ukraine,3
4anb8rmk0xipuQP6QZ5IlH,Ukraine,1
5xtbUYHaOycg6HIi10EZdV,Ukraine,1
0TO6y1x0LQodwBnxGtQu9o,Ukraine,1
1oSPZhvZMIrWW5I41kPkkY,Singapore,2
3JsHnjpbhX4SnySpvpa9DK,Venezuela,2
5NMwoStnfHT4LdETlJSwDT,Belarus,3
4jIvmo6hfAQ04NSOWPVVA3,Ukraine,1
5B5qmrbTFvA7TAxWruuwbo,Belarus,4
2hTmpvdwhpNZryOkwTisRW,Belarus,2
6HaGTQPmzraVmaVxvz6EUc,Vietnam,3
3MdXrJWsbVzdn6fe5JYkSQ,Vietnam,1
0qyv7OappGDi0OyJxcqpVt,Ukraine,1
5GTZUVrKf86Aco9LJQquxc,Ukraine,1
0oSMgGNMeXe3HJAXEJrqL8,Belarus,1
260kWe4y9lg7YFDsZBgsLv,Ukraine,1
6Tv4ZrZbgUMcXAMv0d1VQM,Ukraine,2
1jUPTaRiy2sOdOhvIEUosG,Ukraine,1
2z20q6EEfm6w6PiIKsgtb3,Ukraine,2
0yp6xP5xe1qarfugfTixOK,Belarus,1
0Kwx9LPnkelacgHzRI8vxl,Belarus,1
1EDrjPOlEjmbzjbet1DxTN,Belarus,1
0xByDfltDVpk6LDsUMHyI2,Belarus,4
0E56Ncr2I37JQhW71UJALE,Ukraine,1
4anb8rmk0xipuQP6QZ5IlH,Belarus,2
6oiinpr7kwRmyWKVDTZgRT,Belarus,1
27kGBCjiz5OXojkKX4xQ6R,Belarus,2
4h8pGxEIOi7j4me1yhYxlD,Belarus,1
7K2PBAFUE98RKu30clhIms,Ukraine,1
5xtbUYHaOycg6HIi10EZdV,Kazakhstan,1
3vvLuXEEf7sl3izJcw0GIn,Belarus,1
0P9E2MHee0cXNpIeAvFAt1,Belarus,1
6oTirjGdJPFt3hycC1Rfxb,Belarus,1
1oSPZhvZMIrWW5I41kPkkY,Saudi Arabia,1
0XNKQFs2Ewb3y0VsFUFc5l,Belarus,1
56wiPFJN2Z1PG1N8hGNYaD,Belarus,1
0hAEtx2GQLtMTJj8qycHRr,Belarus,1
4uWhcZCwuPopf6JGvwsN2B,Belarus,1
0ChMIwzbYxHbebgoPeETfV,Belarus,1
5IS4dQ9lDW01IY1buR7bW7,Belarus,1
2z20q6EEfm6w6PiIKsgtb3,Kazakhstan,1
7bI1v9NGBBhq8iGfytctni,Belarus,1
1nnaE1FllcW0TlDdPVmdPg,Belarus,1
3I9Bd4StaxvFWPG9AAjlrO,Belarus,1
6iQqWcDg92kre5ykFLwqD8,Kazakhstan,1
1HY2Jd0NmPuamShAr6KMms,Taiwan,1
4tuJ0bMpJh08umKkEXKUI5,Singapore,2
22wbnEMDvgVIAGdFeek6ET,Slovakia,1
1iCnM8foFssWlPRLfAbIwo,Singapore,1
0GOx72r5AAEKRGQFn3xqXK,Switzerland,2
1cKyknhftNKXCjMBd2hDrG,Switzerland,1
0LKAV3zJ8a8AIGnyc5OvfB,Switzerland,1
7f5Zgnp2spUuuzKplmRkt7,Netherlands,1
2txHhyCwHjUEpJjWrEyqyX,Luxembourg,2
3eVa5w3URK5duf6eyVDbu9,Ukraine,1
0du5cEVh5yTK9QJze8zA0C,Turkey,1
2loEsOijJ6XiGzWYFXMIRk,Switzerland,1
6XjgqvaVLUib6lCerbZrYD,Switzerland,1
26WKgv73kRHD0gEDKD1i8j,Switzerland,1
2yyaNPcdxZcn4iutCcLMaC,Switzerland,1
37lTKHi901VnwngQ7C8noT,Switzerland,1
74KM79TiuVKeVCqs8QtB0B,Sweden,2
6qqNVTkY8uBg9cP3Jd7DAH,Sweden,2
6kbR2eL4hecj3rFwGOsYsI,Poland,1
20rKUmFZsfv9GBXiv6R9d6,Poland,1
2UNjfzEkfsdWVDwnuD6vdH,Poland,1
33qOK5uJ8AR2xuQQAhHump,Sweden,3
3bO19AOone0ubCsfDXDtYt,Sweden,1
3IW7ScrzXmPvZhB27hmfgy,Morocco,1
3hWQDRr1PqwvnHeiZlucBq,Luxembourg,1
3zGV7t4BDmYZBLVA24487b,Netherlands,1
2F3Mdh2idBVOiMTxXoxc10,Netherlands,1
11p2E654TTU8e0nZWBR4AL,Netherlands,1
5PlfkPxwCpRRWQJBxCa0By,Netherlands,1
0u6GtibW46tFX7koQ6uNJZ,Netherlands,1
7hQmAXAzWI6D350VTgkKTG,Netherlands,1
1IFAU4mznUcfPVP9z2c24N,Netherlands,1
7GlBOeep6PqTfFi59PTUUN,Singapore,1
0LKAV3zJ8a8AIGnyc5OvfB,Luxembourg,2
3y2cIKLjiOlp1Np37WiUdH,Norway,1
0UF7XLthtbSF2Eur7559oV,France,1
3QVolfxko2UyCOtexhVTli,France,1
1xU878Z1QtBldR7ru9owdU,France,1
0PCCGZ0wGLizHt2KZ7hhA2,Switzerland,1
5oNWzcU0mYK1zDUxBGHIaG,Netherlands,1
5ncHUtKhiVsHlugFN0DCDl,Netherlands,1
7Ez6lTtSMjMf2YSYpukP1I,Sweden,1
5MraexJKZDrQYzS98kNwie,Switzerland,1
6tzRZ39aZlNqlUzQlkuhDV,Switzerland,1
1QsdzIKkTT5gDFj8GB1cIX,Switzerland,1
3TOqt5oJwL9BE2NG9MEwDa,Switzerland,1
11kt6ggsdxvI8MhyeSMKom,Slovakia,1
5wCmhq5J2hPwL2r0eKurxn,Ireland,1
5KKpBU5eC2tJDzf0wmlRp2,Ireland,1
5VadK1havLhK1OpKYsXv9y,Ireland,1
07h4CCFmlXkwx0g4PL5Uuh,Luxembourg,1
10exVja0key0uqUkk6LJRT,New Zealand,1
5HK6QtizXJzCmoYTkvFRik,Switzerland,1
5eDdy8QxB47JsLASK2FI1m,Netherlands,1
5eir5zFJpES4j7gsymbVyl,Netherlands,5
77SW9BnxLY8rJ0RciFqkHh,Slovakia,1
3JhNCzhSMTxs9WLGJJxWOY,Switzerland,1
5mZJerulcERBZV7xnhrVp1,Switzerland,1
5BcAKTbp20cv7tC5VqPFoC,Switzerland,1
4e0nWw2r4BoQSKPQ2zpU13,Switzerland,1
4iHNK0tOyZPYnBU7nGAgpQ,Norway,1
6ltzsmQQbmdoHHbLZ4ZN25,Norway,1
0fTSzq9jAh4c36UVb4V7CB,Norway,1
60df5JBRRPcnSpsIMxxwQm,United Kingdom,1
3l9G1G9MxH6DaRhwLklaf5,Peru,1
0ys2OFYzWYB5hRDLCsBqxt,Taiwan,1
5Y3MV9DZ0d87NnVm56qSY1,Paraguay,1
06Q5VlSAku57lFzyME3HrM,Peru,1
7iK8PXO48WeuP03g8YR51W,Spain,6
5CiGnKThu5ctn9pBxv7DGa,Spain,1
1HY2Jd0NmPuamShAr6KMms,Switzerland,1
0du5cEVh5yTK9QJze8zA0C,Thailand,2
7jAs1uPnpfNmT6e5qtEPxq,Uruguay,1
11oaKJc8rsz6x8YPVjca4X,Venezuela,1
0kwa5ELbi8xm7vbwywoLtg,Venezuela,1
0c0Yh1P4gMYmDwebhyzIDv,Venezuela,1
1oSPZhvZMIrWW5I41kPkkY,Romania,1
6XkjpgcEsYab502Vr1bBeW,Paraguay,3
06Q5VlSAku57lFzyME3HrM,Paraguay,3
1bAftSH8umNcGZ0uyV7LMg,Ecuador,1
5JMJt80HJWR1e4hMw63Z5t,Bolivia,4
3eVa5w3URK5duf6eyVDbu9,Turkey,1
55ru5B05MMBunM1tvH7Di6,Chile,1
1TA5sGRlKUJXBN4ZyJuDIX,Venezuela,3
3m5qlPf2OkihLz3dRYnkPA,Venezuela,3
6B1hSmaLdOvChinK2Z7gfi,Spain,1
0ZCO8oVkMj897cKgFH7fRW,Paraguay,1
0AqlFI0tz2DsEoJlKSIiT9,Argentina,5
3UTF2no3muGdiFXVujl94i,Spain,3
1r4hJ1h58CWwUQe3MxPuau,Venezuela,1
66ihevNkSYNzRAl44dx6jJ,Peru,1
790FomKkXshlbRYZFtlgla,Uruguay,2
6ndLrsgT3MV5CNxIrW71fw,Venezuela,1
1vyhD5VmyZ7KMfW5gqLgo5,Venezuela,1
1r4hJ1h58CWwUQe3MxPuau,Uruguay,1
7j6DKwmjbxvpQO8h914uEz,Venezuela,1
4q3ewBCX7sLwd24euuV69X,Venezuela,1
1fctva4kpRbg2k3v7kwRuS,Venezuela,1
1mcTU81TzQhprhouKaTkpq,Venezuela,1
3ZpEKRjHaHANcpk10u6Ntq,Venezuela,1
1r4hJ1h58CWwUQe3MxPuau,Spain,1
1r4hJ1h58CWwUQe3MxPuau,Peru,3
6XkjpgcEsYab502Vr1bBeW,Nicaragua,2
1dKdetem2xEmjgvyymzytS,Paraguay,1
2OhUNb01gLwygOizYvTm0e,Paraguay,1
5Y3MV9DZ0d87NnVm56qSY1,Ecuador,1
60XHOAhvEBiV6BGBOv8ClM,Bolivia,1
