Id,Label,Popularity,Followers
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,85,5890212
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,87,3488512
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,88,3405181
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91,12711223
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,4010734
2sSGPbdZJkaSE2AbcGOACx,The Marías,80,1737134
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86,18693277
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86,3601728
78F6Xkd46aMHkr4AP60TXY,Clarent,71,146924
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,81,445692
54seKvtsZauR1iauN0ptpo,De La Rose,79,314448
30Ml7nTMkXYyb0UoLwtmCc,Los Diozes,62,50058
7iK8PXO48WeuP03g8YR51W,Myke Towers,90,17456320
5CiGnKThu5ctn9pBxv7DGa,benny blanco,79,1252138
0CVOcYvRcSvOXyuR4YGKaC,Dani Fernández,69,263822
2tmrdVbpFzIVIOcqxvErj2,Los Sufridos,62,8269
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,75,1862040
0EmeFodog0BfCgMzAIvKQp,Shakira,88,35631318
37S0GFsBW73uqxGXNFeADJ,Ghost Killer Track,61,40671
0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,72,2940322
0FwnPHExlRRxEZPLAi5tmG,JC Reyes,76,1013258
4RWJOoYwgF978LOn8Fainp,Yami Safdie,71,331415
3SCOuAxngTC1yGjKMcIPEd,Lasso,72,883128
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,84,14313708
3UTF2no3muGdiFXVujl94i,Kapo,81,329216
5qPeAT4ikl6gJNUexAOEy0,Oques Grasses,61,182475
6TKygPpVT29oGUogu4J9Ec,Yan Block,78,244886
34PYzJSu4DHKEyhdBfsn0E,TORRRES,63,11010
22dFwJoRBV51ue5TGnC7Dt,Beny Jr,77,1528476
2NeFajzkAQ4UfviWdzf0pK,Marta Santos,66,144015
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,93,27824989
1XSmez9xyCCPpOZp0uImwM,Rita Payés,56,161635
6B1hSmaLdOvChinK2Z7gfi,Maisak,72,63861
2LRoIwlKmHjgvigdNGBHNo,Feid,92,14984288
6k8mwkKJKKjBILo7ypBspl,Ana Mena,69,971467
0AqlFI0tz2DsEoJlKSIiT9,Emilia,81,3856979
790FomKkXshlbRYZFtlgla,KAROL G,91,52495430
0ZHPrnImGh4re3TbSNkoZl,Beret,71,3088827
4az97MtWmBQ5Db3GfDh9j9,Morad,80,3681309
2CCgb0KApjfQDuTppovpf8,Rvfv,75,778702
5C4PDR4LnhZTbVnKWXuDKD,Morat,83,12357845
5PlfkPxwCpRRWQJBxCa0By,HUGEL,78,372703
0u6GtibW46tFX7koQ6uNJZ,Topic,77,270206
7hQmAXAzWI6D350VTgkKTG,Arash,72,261481
1IFAU4mznUcfPVP9z2c24N,Daecolm,71,13799
2enhM5DK9oTxWiCVpFIDv3,Figa Flawas,61,59066
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,87,4438239
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86,8154368
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,84,8255768
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,78,7976501
4BnXLYKwUhFGUmYE5mPNox,Las 2K,55,4636
6mQDo8xYI31LFjmhIsZEWg,Chardo Chardemio,55,2459
3QqpGThGBmUjiYeF8biKlM,Melody Records International,55,2379
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,90,37753901
1x8mAhfvCw7JXRX7Ild0lF,Hey Kid,57,20448
6i0h6wBrfNkdf3eTUoelpP,Malmö 040,58,35378
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,81,2942941
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,80,4047775
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,80,5468992
7FNnA9vBm6EKceENgCGRMb,Anitta,83,12805981
1JbemQ1fPt2YmSLjAFhPBv,Chayanne,77,8406346
60ZOYUFnCYEeKYsxgvPxOS,Cano,71,502190
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,71,3106312
1bAftSH8umNcGZ0uyV7LMg,Duki,86,11588541
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,91,55022595
6eXZu6O7nAUA5z6vLV8NKI,Little Simz,71,1094413
3wcj11K77LjEY1PkEazffa,Burna Boy,80,10793010
0jIWKlfmD4Ew7HeVVrq03g,Elyanna,71,232914
7vXDAI8JwjW531ouMGbfcp,TINI,79,8544429
2V9MnjEMqwXm7sice07NQK,Diegote,57,81918
4kcQWQDK0u9AftVSpdrAgk,Luck Ra,77,1904556
5TP8Ubo4jLKEi4Mw2O8fAk,BM,70,1005159
2OhUNb01gLwygOizYvTm0e,Big One,75,681652
2BTS8Np1YzPQuXjgdlqsBB,Emanero,71,515739
55ru5B05MMBunM1tvH7Di6,Valentino Merlo,74,267286
1FxPMQ9A0882eNDx3ZkD6B,La T y La M,71,821608
6Gsh7oJoJ5EQUuQk0EhfWL,Malandro,63,62275
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,82,7258191
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,79,7886635
06Q5VlSAku57lFzyME3HrM,Ke Personajes,78,4052740
4oZolC0sCwCAKqsNXfRlVS,The La Planta,73,471202
7yIp2QRLkQ6loIrupimiri,Pinky SD,78,40960
