id,label,type,main_country
06Q5VlSAku57lFzyME3HrM,Ke Personajes,Artist,Bolivia
4oZolC0sCwCAKqsNXfRlVS,The La Planta,Artist,Uruguay
7yIp2QRLkQ6loIrupimiri,Pinky SD,Artist,Argentina
2Mt2vBBEckrvXtg0JldwZ0,Un Poco de Ruido,Artist,Argentina
5Qv1EsPany9Fc3yyCJnoxw,Uriel Lozano,Artist,Argentina
6HTUcOExehqydqa7C3usAa,Abel Pintos,Artist,Argentina
60XHOAhvEBiV6BGBOv8ClM,La Joaqui,Artist,Argentina
19HM5j0ULGSmEoRcrSe5x3,Milo j,Artist,Argentina
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,Artist,Argentina
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,Artist,Argentina
2Jb9jVnCpWkXtoGznFJ6bF,ECKO,Artist,Argentina
6QVEWdYtBkaJcboEtH5FeB,Los Turros,Artist,Argentina
2eXWodjj5K1vVq2CSjl036,DobleP,Artist,Argentina
1NtRGHzfJ8H7dENIXu1tdk,Cristian Di Marco,Artist,Argentina
04XdCDDrPnnqidaVBTOQjt,Hernan y La Champion's Liga,Artist,Argentina
6GRwwWAtmusrgAL5JF9Dfr,Callejero Fino,Artist,Argentina
7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,Artist,Argentina
1QZuAtDYNrk2QMogJulsyq,Karina,Artist,Argentina
6iYRN5eaz8LSxvwkhmwkRj,j mena,Artist,Argentina
6LZA6PhNCwUfHzqfpN1nYL,Angela Torres,Artist,Argentina
7jAs1uPnpfNmT6e5qtEPxq,ATL Jacob,Artist,Argentina
3WMlRpW5JWuDI95TcEWt3r,Salastkbron,Artist,Argentina
5xIOUIBQhGFX7HIj8lhdyU,Omar Varela,Artist,Argentina
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,Artist,Argentina
1H6X7yhnXZg73f9bssaj1Q,Judeline,Artist,Argentina
716NhGYqD1jl2wI1Qkgq36,Bizarrap,Artist,Argentina
4m6ubhNsdwF4psNf3R8kwR,KHEA,Artist,Argentina
7rFHoDuiSlV0DGHxckjm89,Lia Kali,Artist,Argentina
7CvTknweLr9feJtRGrpDBy,FloyyMenor,Artist,Chile
2qWK8K2Jfh67UqtwY8tCW6,YSY A,Artist,Argentina
7fT2Me47PQ8T7954PKrcwR,Bhavi,Artist,Argentina
5Zk54wioCsUtq5ggUWXqlK,Tuti DJ,Artist,Argentina
0sE8WmITfzXJwYGdtbo8B0,Pereiraremix,Artist,Argentina
6UCQYrcJ6wab6gnQ89OJFh,Headie One,Artist,Argentina
6uzHLlGqFKaXYOnZyYmXYg,LOUKI,Artist,Argentina
0pelomsVlROuivdE2RgeDU,El Mago Y La Nueva,Artist,Argentina
7Ez6lTtSMjMf2YSYpukP1I,Dasha,Artist,Australia
