id_genre,id_artiste,pays
1797,485,Slovakia
1797,486,Slovakia
1797,487,Czech Republic
1793,489,Slovakia
1797,489,Slovakia
1797,490,Slovakia
1799,491,Czech Republic
1793,492,Czech Republic
1797,492,Czech Republic
1797,493,Czech Republic
1795,494,Czech Republic
1797,494,Czech Republic
1799,495,Czech Republic
1797,496,Czech Republic
1795,497,Czech Republic
1797,497,Czech Republic
1793,498,Norway
1795,498,Norway
1795,499,Denmark
1795,500,Denmark
1797,500,Denmark
1795,501,Denmark
1795,502,Denmark
1797,502,Denmark
1795,503,Denmark
1797,503,Denmark
1795,504,Denmark
1797,504,Denmark
1795,505,Denmark
1797,505,Denmark
1795,506,Denmark
1797,506,Denmark
1795,507,Denmark
1797,507,Denmark
1795,508,Denmark
1795,509,Denmark
1795,511,Denmark
1797,511,Denmark
1795,512,Denmark
1797,512,Denmark
1795,513,Denmark
1795,515,Denmark
1795,516,Denmark
1795,517,Denmark
1795,518,Denmark
1795,519,Denmark
1797,519,Denmark
1795,520,Denmark
1797,520,Denmark
1795,522,Denmark
1795,525,Denmark
1797,525,Denmark
1795,526,Denmark
1799,526,Denmark
1795,527,Denmark
1795,528,Denmark
1795,529,Denmark
1797,529,Denmark
1795,530,Denmark
1795,534,Dominica
1797,534,Dominica
1795,535,Dominica
1796,537,Dominica
1793,538,Dominica
1795,541,Dominica
1793,542,Dominica
1794,542,Dominica
1793,543,Dominica
1794,543,Dominica
1793,550,Dominica
1794,550,Dominica
1796,550,Dominica
1798,550,Dominica
1796,553,Dominica
1798,553,Dominica
1793,554,Dominica
1794,554,Dominica
1793,555,Dominica
1794,555,Dominica
1798,555,Dominica
1793,560,Dominica
1794,560,Dominica
1795,573,Ecuador
1799,573,Ecuador
1793,574,Ecuador
1794,574,Ecuador
1796,574,Ecuador
1798,574,Ecuador
1793,575,Ecuador
1794,575,Ecuador
1796,575,Ecuador
1798,575,Ecuador
1795,576,Egypt
1793,577,Egypt
1794,577,Egypt
1797,577,Egypt
1795,579,Egypt
1793,581,Egypt
1794,581,Egypt
1793,582,Egypt
1794,582,Egypt
1797,582,Egypt
1793,583,Egypt
1794,583,Egypt
1795,584,Egypt
1795,585,Egypt
1795,586,Egypt
1793,590,Egypt
1794,590,Egypt
1797,590,Egypt
1795,591,Egypt
1799,591,Egypt
1795,592,Egypt
1795,593,Egypt
1795,594,Egypt
1793,596,Egypt
1794,596,Egypt
1795,596,Egypt
1797,596,Egypt
1795,597,Egypt
1795,599,Egypt
1795,601,Egypt
1795,602,Egypt
1795,603,Egypt
1793,604,Egypt
1794,604,Egypt
1797,604,Egypt
1793,605,Egypt
1794,605,Egypt
1797,605,Egypt
1795,606,Egypt
1795,608,Egypt
1793,616,El Salvador
1794,616,El Salvador
1795,616,El Salvador
