artist,genre,pays
DJ Damyan,pop,Bulgaria
Tsvetelina Yaneva,pop,Bulgaria
Ndotz,drill,Slovakia
Galin,pop,Bulgaria
Konstantin,pop,Bulgaria
Konstantin,pop,Bulgaria
VANE$$A,pop,Bulgaria
Alisia,pop,Bulgaria
SIMONA,pop,Bulgaria
Travis Scott,rap,Luxembourg
Tedi Aleksandrova,pop,Bulgaria
Don Mario,pop,Bulgaria
Galena,pop,Bulgaria
Galena,pop,Bulgaria
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Yzomandias,drill,Slovakia
Nik Tendo,hip hop,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
SIMILIVINLIFE,hip hop,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Saul,hip hop,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Viktor Sheen,drill,Slovakia
Hard Rico,hip hop,Slovakia
Ektor,hip hop,Slovakia
Ektor,hip hop,Slovakia
Gigi Perez,pop,Slovakia
Dollar Prync,hip hop,Slovakia
Ektor,hip hop,Slovakia
Linkin Park,rock,Latvia
Hard Rico,hip hop,Slovakia
Yzomandias,drill,Slovakia
Hard Rico,hip hop,Slovakia
Rytmus,hip hop,Slovakia
Rytmus,hip hop,Slovakia
Rytmus,hip hop,Slovakia
Hard Rico,hip hop,Slovakia
Separ,hip hop,Slovakia
Peter Pann,hip hop,Slovakia
Rohony,hip hop,Czech Republic
Rohony,hip hop,Czech Republic
Lady Gaga,pop,Slovakia
Bruno Mars,pop,Sweden
Pil C,hip hop,Slovakia
Luca Brassi10x,hip hop,Slovakia
Separ,hip hop,Slovakia
Linkin Park,rock,Hungary
Billie Eilish,pop,Switzerland
ROSÉ,pop,Sweden
Bruno Mars,pop,Spain
Bruno Mars,pop,Spain
ŠKWOR,rock,Czech Republic
Calin,hip hop,Slovakia
Yzomandias,drill,Czech Republic
P T K,hip hop,Slovakia
Benson Boone,pop,Switzerland
Calin,hip hop,Slovakia
Viktor Sheen,drill,Slovakia
Ben Cristovao,hip hop,Czech Republic
Ektor,hip hop,Czech Republic
Jimin,pop,Belarus
Dollar Prync,hip hop,Slovakia
Hard Rico,hip hop,Slovakia
Kabát,rock,Czech Republic
Yzomandias,drill,Czech Republic
Viktor Sheen,drill,Czech Republic
Hard Rico,hip hop,Slovakia
Robin Zoot,hip hop,Czech Republic
Calin,hip hop,Czech Republic
Viktor Sheen,drill,Czech Republic
Tom Odell,pop,Estonia
The Neighbourhood,rock,Slovakia
Linkin Park,rock,Germany
Sofian Medjmedj,hip hop,Czech Republic
Ben Cristovao,hip hop,Czech Republic
Viktor Sheen,drill,Czech Republic
Sofian Medjmedj,hip hop,Czech Republic
Marstein,pop,Norway
Annika,pop,Norway
Suspekt,hip hop,Denmark
URO,pop,Denmark
Lamin,hip hop,Denmark
Ukendt Kunstner,hip hop,Denmark
Benny Jamz,hip hop,Denmark
Gilli,hip hop,Denmark
Lady Gaga,pop,Romania
Bruno Mars,pop,Slovakia
Noah Carter,hip hop,Denmark
Annika,pop,Norway
Billie Eilish,pop,Sweden
Ankerstjerne,hip hop,Denmark
Daniel Schulz,pop,Denmark
Panamah,pop,Denmark
Panamah,pop,Denmark
Panamah,pop,Denmark
KESI,hip hop,Denmark
Lamin,hip hop,Denmark
D1MA,hip hop,Denmark
Burhan G,pop,Denmark
Burhan G,pop,Denmark
Lamin,hip hop,Denmark
Gilli,hip hop,Denmark
Wham!,rock,Switzerland
Annika,pop,Denmark
Mariah Carey,pop,Norway
Sabrina Carpenter,pop,United Kingdom
Blæst,pop,Denmark
Mumle,pop,Denmark
Svea S,pop,Denmark
Tobias Rahim,pop,Denmark
ICEKIID,hip hop,Denmark
Benny Jamz,hip hop,Denmark
Gilli,hip hop,Denmark
Gobs,hip hop,Denmark
Annika,pop,Denmark
Gigi Perez,pop,Romania
Gigi Perez,pop,Romania
Malte Ebert,pop,Denmark
Sabrina Carpenter,pop,Ukraine
Sabrina Carpenter,pop,Ukraine
Lamin,hip hop,Denmark
Lamin,hip hop,Denmark
ROSÉ,pop,Slovakia
Bruno Mars,pop,Slovakia
Gilli,hip hop,Denmark
KESI,hip hop,Denmark
Ariana Grande,pop,Austria
Gobs,hip hop,Denmark
ICEKIID,hip hop,Denmark
ICEKIID,hip hop,Denmark
ICEKIID,hip hop,Denmark
Omar,hip hop,Denmark
Tobias Rahim,pop,Denmark
Mads Langer,rock,Denmark
The Weeknd,pop,Switzerland
Playboi Carti,hip hop,Slovakia
Myles Smith,pop,Sweden
Malte Ebert,pop,Denmark
Shaboozey,pop,Sweden
URO,pop,Denmark
Hjalmer,pop,Denmark
Rasmus Seebach,pop,Denmark
Rasmus Seebach,pop,Denmark
Branco,hip hop,Denmark
Gobs,hip hop,Denmark
Justin Bieber,pop,Denmark
Tobias Rahim,pop,Denmark
Tobias Rahim,pop,Denmark
Tobias Rahim,pop,Denmark
Gigi Perez,pop,Poland
Gigi Perez,pop,Poland
The Weeknd,pop,Slovakia
Playboi Carti,hip hop,Slovakia
ROSÉ,pop,Romania
Bruno Mars,pop,Romania
nublu,pop,Estonia
maria kallastu,pop,Estonia
maria kallastu,pop,Estonia
Billie Eilish,pop,Sweden
Lady Gaga,pop,Poland
Bruno Mars,pop,Romania
The Weeknd,pop,Slovakia
Anitta,funk,Romania
Anitta,funk,Romania
Anitta,funk,Romania
Anitta,funk,Romania
Anitta,funk,Romania
A$AP Rocky,hip hop,Lithuania
Imogen Heap,pop,Lithuania
Clams Casino,hip hop,Lithuania
villemdrillem,hip hop,Estonia
Chappell Roan,pop,United Kingdom
Sabrina Carpenter,pop,Switzerland
The Kid LAROI,hip hop,United Kingdom
"Tyler, The Creator",hip hop,United Kingdom
"Tyler, The Creator",hip hop,United Kingdom
Küberünnak & Karmo,hip hop,Estonia
Snow Strippers,rap,Lithuania
Florian Wahl,pop,Estonia
Sabrina Carpenter,pop,Sweden
Billie Eilish,pop,Slovakia
The Neighbourhood,rock,Poland
Travis Scott,rap,Lithuania
Playboi Carti,hip hop,Romania
Charli xcx,pop,United Kingdom
Billie Eilish,pop,Slovakia
Billie Eilish,pop,Slovakia
Linkin Park,rock,Germany
Ndotz,drill,Romania
5MIINUST,hip hop,Estonia
nublu,pop,Estonia
säm,pop,Estonia
Don Toliver,rap,Romania
Don Toliver,rap,Romania
Don Toliver,rap,Romania
Wham!,rock,Norway
Wham!,rock,Norway
nublu,pop,Estonia
cassö,pop,Estonia
RAYE,pop,Estonia
D-Block Europe,drill,Estonia
villemdrillem,hip hop,Estonia
Lost Frequencies,pop,Luxembourg
Tom Odell,pop,Czech Republic
Tom Odell,pop,Czech Republic
Topic,pop,Germany
Arash,pop,Germany
Arash,pop,Germany
Cigarettes After Sex,pop,Switzerland
Cigarettes After Sex,pop,Switzerland
Baby Keem,hip hop,Estonia
PinkPantheress,pop,Latvia
PinkPantheress,pop,Latvia
Stormzy,hip hop,United Kingdom
Billie Eilish,pop,Romania
Linkin Park,rock,Germany
Linkin Park,rock,Germany
Linkin Park,rock,Germany
Linkin Park,rock,Germany
Linkin Park,rock,Germany
Linkin Park,rock,Germany
5MIINUST,hip hop,Estonia
Sabrina Carpenter,pop,Sweden
ibe,hip hop,Finland
Turisti,drill,Finland
Mirella,pop,Finland
Mirella,pop,Finland
Mirella,pop,Finland
Sliki,hip hop,Finland
Turisti,drill,Finland
Ares,hip hop,Finland
Ares,hip hop,Finland
Turisti,drill,Finland
Etta,hip hop,Finland
Mirella,pop,Finland
AHTI,hip hop,Finland
Isac Elliot,hip hop,Finland
Isac Elliot,hip hop,Finland
Mirella,pop,Finland
Lauri Haav,hip hop,Finland
SANNI,hip hop,Finland
Mirella,pop,Finland
Mirella,pop,Finland
Turisti,drill,Finland
Gigi Perez,pop,Norway
SHRTY,hip hop,Finland
SHRTY,hip hop,Finland
KERZA,drill,Finland
Mirella,pop,Finland
Sliki,hip hop,Finland
Kube,hip hop,Finland
Jore & Zpoppa,drill,Finland
Turisti,drill,Finland
Turisti,drill,Finland
Turisti,drill,Finland
Sexmane,hip hop,Finland
Mirella,pop,Finland
Mirella,pop,Finland
Turisti,drill,Finland
Turisti,drill,Finland
ibe,hip hop,Finland
Lady Gaga,pop,Norway
Bruno Mars,pop,Poland
costee,hip hop,Finland
Isac Elliot,hip hop,Finland
Miriam Bryant,pop,Sweden
Miriam Bryant,pop,Sweden
Sliki,hip hop,Finland
Mirella,pop,Finland
Sara Siipola,pop,Finland
Ege Zulu,hip hop,Finland
BEHM,pop,Finland
BEHM,pop,Finland
Turisti,drill,Finland
Sliki,hip hop,Finland
Ares,hip hop,Finland
Ares,hip hop,Finland
Isac Elliot,hip hop,Finland
Robin Packalen,pop,Finland
Tupe.,hip hop,Finland
Mirella,pop,Finland
Mirella,pop,Finland
Käärijä,pop,Finland
Costi,hip hop,Finland
Costi,hip hop,Finland
Sexmane,hip hop,Finland
Sexmane,hip hop,Finland
KUUMAA,pop,Finland
KUUMAA,pop,Finland
KUUMAA,pop,Finland
ROSÉ,pop,Poland
Bruno Mars,pop,Poland
Turisti,drill,Finland
Turisti,drill,Finland
Anna Puu,rock,Finland
Erin,rock,Finland
Ida Paul,pop,Finland
Sara Siipola,pop,Finland
Sara Siipola,pop,Finland
jambo,hip hop,Finland
SDM,hip hop,Luxembourg
GIMS,hip hop,Luxembourg
Jul,hip hop,Belgium
GIMS,hip hop,Luxembourg
DYSTINCT,hip hop,Luxembourg
DYSTINCT,hip hop,Luxembourg
SDM,hip hop,France
SDM,hip hop,France
Guy2Bezbar,hip hop,France
Lady Gaga,pop,Netherlands
Bruno Mars,pop,Norway
Tiakola,hip hop,Luxembourg
Tiakola,hip hop,Luxembourg
Tiakola,hip hop,Luxembourg
SANTA,pop,France
SANTA,pop,France
Pabllo Vittar,funk,Luxembourg
Yseult,pop,Luxembourg
Ninho,hip hop,France
Niska,hip hop,France
KeBlack,hip hop,Luxembourg
Franglish,hip hop,Luxembourg
Franglish,hip hop,Luxembourg
Franglish,hip hop,Luxembourg
ROSÉ,pop,Norway
Bruno Mars,pop,Norway
Bruno Mars,pop,Norway
GIMS,hip hop,France
Tiakola,hip hop,Luxembourg
Tiakola,hip hop,Luxembourg
Prototype,rap,Luxembourg
Prototype,rap,Luxembourg
Prototype,rap,Luxembourg
Leto,hip hop,France
Billie Eilish,pop,Romania
Ninho,hip hop,France
Niska,hip hop,France
KAROL G,urbano latino,Spain
KAROL G,urbano latino,Spain
Angèle,pop,Belgium
Phoenix,rock,Belgium
Gazo,drill,Luxembourg
Werenoi,hip hop,France
Werenoi,hip hop,France
Werenoi,hip hop,France
Werenoi,hip hop,France
Werenoi,hip hop,France
Benson Boone,pop,Sweden
KeBlack,hip hop,France
KeBlack,hip hop,France
Booba,hip hop,France
SDM,hip hop,France
Lacrim,hip hop,France
FloyyMenor,reggaeton,Switzerland
Cris Mj,urbano latino,Spain
Cris Mj,urbano latino,Spain
Cris Mj,urbano latino,Spain
Werenoi,hip hop,France
Werenoi,hip hop,France
Sabrina Carpenter,pop,Slovakia
Favé,drill,France
Gazo,drill,France
Ninho,hip hop,France
Kendji Girac,pop,France
Linkin Park,rock,France
