id_genre,id_artiste
pop,06HL4z0CvFAxyc27GXpf02
pop,4gvjmrtzydbMpyJaXUtwvP
hip hop,1WaFQSHVGZQJTbf0BdxdNo
hip hop,2kS9NyuATpYwjeB93h24H5
pop,2kS9NyuATpYwjeB93h24H5
hip hop,1E8mXBWN7AXZCOPYbOky4J
hip hop,3CJKkU0XuElRT1z8rEtIYg
drill,3CJKkU0XuElRT1z8rEtIYg
hip hop,76dRoxKtDwYkgCQePok9cU
hip hop,0JBdTCGs111JKKYfLqOEBa
pop,0JBdTCGs111JKKYfLqOEBa
rap,0JBdTCGs111JKKYfLqOEBa
hip hop,3drqpTL4sQOckmAfF9i1wg
hip hop,7vohy1W7YNLxHynG44UFjS
pop,7o95ZoZt5ZYn31e9z1Hc0a
hip hop,1SnSPHBs8l5iAvoWF0aO05
trap,1SnSPHBs8l5iAvoWF0aO05
rap,1SnSPHBs8l5iAvoWF0aO05
r&b,1SnSPHBs8l5iAvoWF0aO05
hip hop,13bDjug9N0pyv3ZUINjkDV
drill,5HK6QtizXJzCmoYTkvFRik
hip hop,5p7mWeX4RlvqBCxylfiXdE
drill,5p7mWeX4RlvqBCxylfiXdE
pop,11p2E654TTU8e0nZWBR4AL
pop,0wi4yTYlGtEnbGo4ltZTib
rock,0wi4yTYlGtEnbGo4ltZTib
rock,0rvjqX7ttXeg3mTy8Xscbt
pop,5WUlDfRSoLAfcVSX1WnrxN
hip hop,1fImPZoBVjmYrBFzCHh0N3
pop,0xByDfltDVpk6LDsUMHyI2
hip hop,5xtbUYHaOycg6HIi10EZdV
hip hop,5NMwoStnfHT4LdETlJSwDT
trap,5NMwoStnfHT4LdETlJSwDT
rap,5NMwoStnfHT4LdETlJSwDT
pop,4jIvmo6hfAQ04NSOWPVVA3
hip hop,5B5qmrbTFvA7TAxWruuwbo
rap,5B5qmrbTFvA7TAxWruuwbo
hip hop,2hTmpvdwhpNZryOkwTisRW
pop,6HaGTQPmzraVmaVxvz6EUc
k-pop,6HaGTQPmzraVmaVxvz6EUc
trap,3MdXrJWsbVzdn6fe5JYkSQ
rap,3MdXrJWsbVzdn6fe5JYkSQ
pop,260kWe4y9lg7YFDsZBgsLv
hip hop,2z20q6EEfm6w6PiIKsgtb3
trap,2z20q6EEfm6w6PiIKsgtb3
rap,2z20q6EEfm6w6PiIKsgtb3
pop,0yp6xP5xe1qarfugfTixOK
hip hop,0E56Ncr2I37JQhW71UJALE
rap,0E56Ncr2I37JQhW71UJALE
hip hop,27kGBCjiz5OXojkKX4xQ6R
trap,27kGBCjiz5OXojkKX4xQ6R
rap,27kGBCjiz5OXojkKX4xQ6R
drill,27kGBCjiz5OXojkKX4xQ6R
hip hop,4h8pGxEIOi7j4me1yhYxlD
pop,4h8pGxEIOi7j4me1yhYxlD
pop,7K2PBAFUE98RKu30clhIms
hip hop,3vvLuXEEf7sl3izJcw0GIn
trap,3vvLuXEEf7sl3izJcw0GIn
rap,3vvLuXEEf7sl3izJcw0GIn
hip hop,0XNKQFs2Ewb3y0VsFUFc5l
trap,0XNKQFs2Ewb3y0VsFUFc5l
rap,0XNKQFs2Ewb3y0VsFUFc5l
hip hop,0hAEtx2GQLtMTJj8qycHRr
pop,4uWhcZCwuPopf6JGvwsN2B
hip hop,0ChMIwzbYxHbebgoPeETfV
country,7bI1v9NGBBhq8iGfytctni
hip hop,1nnaE1FllcW0TlDdPVmdPg
hip hop,3I9Bd4StaxvFWPG9AAjlrO
rap,3I9Bd4StaxvFWPG9AAjlrO
rock,6iQqWcDg92kre5ykFLwqD8
hip hop,0GOx72r5AAEKRGQFn3xqXK
pop,0GOx72r5AAEKRGQFn3xqXK
rap,0GOx72r5AAEKRGQFn3xqXK
r&b,0GOx72r5AAEKRGQFn3xqXK
hip hop,1cKyknhftNKXCjMBd2hDrG
rap,1cKyknhftNKXCjMBd2hDrG
hip hop,0LKAV3zJ8a8AIGnyc5OvfB
pop,0LKAV3zJ8a8AIGnyc5OvfB
r&b,0LKAV3zJ8a8AIGnyc5OvfB
house,2loEsOijJ6XiGzWYFXMIRk
house,26WKgv73kRHD0gEDKD1i8j
hip hop,3IW7ScrzXmPvZhB27hmfgy
pop,3IW7ScrzXmPvZhB27hmfgy
rap,3IW7ScrzXmPvZhB27hmfgy
pop,2F3Mdh2idBVOiMTxXoxc10
house,0UF7XLthtbSF2Eur7559oV
