artist,genre,pays
Ke Personajes,pop,Chile
KAROL G,urbano latino,Ecuador
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
Jimin,pop,Paraguay
Myke Towers,urbano latino,Ecuador
benny blanco,pop,Colombia
benny blanco,pop,Colombia
benny blanco,pop,Colombia
benny blanco,pop,Colombia
The La Planta,pop,Chile
Duki,urbano latino,Argentina
Myke Towers,urbano latino,Ecuador
Myke Towers,urbano latino,Ecuador
Ke Personajes,pop,Bolivia
Blessd,urbano latino,Colombia
Ovy On The Drums,urbano latino,Colombia
Ovy On The Drums,urbano latino,Colombia
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
J Abdiel,urbano latino,Venezuela
De La Rose,urbano latino,Paraguay
Yan Block,urbano latino,Venezuela
iZaak,urbano latino,Venezuela
Jay Wheeler,urbano latino,Venezuela
Jay Wheeler,urbano latino,Venezuela
Rvssian,urbano latino,Ecuador
Rauw Alejandro,urbano latino,Ecuador
Rauw Alejandro,urbano latino,Ecuador
Rauw Alejandro,urbano latino,Ecuador
Feid,urbano latino,Colombia
Plan B,urbano latino,Ecuador
Jin,pop,Paraguay
Jin,pop,Paraguay
Maluma,urbano latino,Colombia
Maluma,urbano latino,Colombia
FloyyMenor,reggaeton,Chile
FloyyMenor,reggaeton,Chile
KAROL G,urbano latino,Colombia
KAROL G,urbano latino,Colombia
KAROL G,urbano latino,Colombia
KAROL G,urbano latino,Colombia
KAROL G,urbano latino,Colombia
KAROL G,urbano latino,Colombia
Emilia,pop,Argentina
iZaak,urbano latino,Peru
JHAYCO,urbano latino,Paraguay
Anuel AA,urbano latino,Paraguay
Big One,trap,Bolivia
FMK,trap,Bolivia
Ke Personajes,pop,Bolivia
Shakira,pop,Colombia
Myke Towers,urbano latino,Ecuador
Bad Bunny,urbano latino,Ecuador
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
KAROL G,urbano latino,Colombia
KAROL G,urbano latino,Colombia
KAROL G,urbano latino,Colombia
Lady Gaga,pop,Chile
Bruno Mars,pop,Chile
Bruno Mars,pop,Chile
Arcángel,urbano latino,Colombia
Anuel AA,urbano latino,Paraguay
Daddy Yankee,urbano latino,Paraguay
Zion & Lennox,urbano latino,Paraguay
Farruko,urbano latino,Paraguay
Wisin,urbano latino,Paraguay
Trueno,urbano latino,Paraguay
Maluma,urbano latino,Colombia
Myke Towers,urbano latino,Colombia
Myke Towers,urbano latino,Colombia
Bad Bunny,urbano latino,Colombia
Quevedo,urbano latino,Paraguay
Jin,pop,Paraguay
Myke Towers,urbano latino,Chile
Lady Gaga,pop,Brazil
Bruno Mars,pop,Brazil
Bruno Mars,pop,Brazil
KAROL G,urbano latino,Colombia
Jimin,pop,Chile
Omar Courtz,urbano latino,Ecuador
De La Rose,urbano latino,Paraguay
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
Myke Towers,urbano latino,Chile
benny blanco,pop,Chile
ROSÉ,pop,Brazil
Bruno Mars,pop,Brazil
Bruno Mars,pop,Brazil
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
Rvssian,urbano latino,Colombia
Rauw Alejandro,urbano latino,Colombia
Rauw Alejandro,urbano latino,Colombia
Rauw Alejandro,urbano latino,Colombia
Tiago PZK,urbano latino,Bolivia
Ke Personajes,pop,Bolivia
Ke Personajes,pop,Bolivia
Ke Personajes,pop,Bolivia
FloyyMenor,reggaeton,Chile
Feid,urbano latino,Colombia
Blessd,urbano latino,Colombia
Ovy On The Drums,urbano latino,Colombia
Ovy On The Drums,urbano latino,Colombia
Cris Mj,urbano latino,Chile
Feid,urbano latino,Colombia
Shakira,pop,Chile
Cris Mj,urbano latino,Chile
FloyyMenor,reggaeton,Chile
FloyyMenor,reggaeton,Chile
KAROL G,urbano latino,Colombia
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
Ovy On The Drums,urbano latino,Colombia
J Balvin,urbano latino,Colombia
Maluma,urbano latino,Chile
Ryan Castro,urbano latino,Colombia
Blessd,urbano latino,Colombia
Bad Bunny,urbano latino,Colombia
Feid,urbano latino,Colombia
Feid,urbano latino,Colombia
Boza,urbano latino,Ecuador
Boza,urbano latino,Ecuador
Maluma,urbano latino,Bolivia
Trueno,urbano latino,Bolivia
Duki,urbano latino,Argentina
Myke Towers,urbano latino,Bolivia
Myke Towers,urbano latino,Bolivia
Billie Eilish,pop,Peru
Pascal,pop,Peru
Milo j,urbano latino,Bolivia
Taiu,trap,Bolivia
KAROL G,urbano latino,Colombia
Cris Mj,urbano latino,Chile
Kali Uchis,pop,Chile
JHAYCO,urbano latino,Chile
Ryan Castro,urbano latino,Chile
Ryan Castro,urbano latino,Chile
SOG,reggaeton,Bolivia
SOG,reggaeton,Bolivia
Lasso,pop,Ecuador
Feid,urbano latino,Chile
Young Miko,urbano latino,Colombia
Maluma,urbano latino,Bolivia
Maluma,urbano latino,Bolivia
Feid,urbano latino,Chile
Yandel,urbano latino,Colombia
J Balvin,urbano latino,Colombia
Bad Bunny,urbano latino,Bolivia
Manuel Turizo,urbano latino,Colombia
J Abdiel,urbano latino,Peru
De La Rose,urbano latino,Ecuador
Yan Block,urbano latino,Venezuela
iZaak,urbano latino,Paraguay
Jay Wheeler,urbano latino,Peru
Jay Wheeler,urbano latino,Peru
FloyyMenor,reggaeton,Bolivia
Cris Mj,urbano latino,Bolivia
KAROL G,urbano latino,Chile
KAROL G,urbano latino,Chile
KAROL G,urbano latino,Chile
Plan B,urbano latino,Colombia
Nanpa Básico,hip hop,Ecuador
Beéle,urbano latino,Ecuador
Beéle,urbano latino,Ecuador
Blessd,urbano latino,Colombia
Ovy On The Drums,urbano latino,Chile
Tiago PZK,urbano latino,Argentina
Anitta,funk,Argentina
Emilia,pop,Argentina
Duki,urbano latino,Argentina
Myke Towers,urbano latino,Bolivia
Big One,trap,Argentina
Emanero,hip hop,Argentina
Emanero,hip hop,Argentina
KAROL G,urbano latino,Bolivia
Emilia,pop,Argentina
Emilia,pop,Argentina
Big One,trap,Argentina
Tiago PZK,urbano latino,Argentina
La Joaqui,hip hop,Argentina
Maria Becerra,urbano latino,Bolivia
Maria Becerra,urbano latino,Bolivia
Maria Becerra,urbano latino,Bolivia
Maria Becerra,urbano latino,Bolivia
Maria Becerra,urbano latino,Bolivia
The La Planta,pop,Bolivia
Myke Towers,urbano latino,Argentina
benny blanco,pop,Bolivia
Tiago PZK,urbano latino,Argentina
Ke Personajes,pop,Argentina
Omar Courtz,urbano latino,Colombia
De La Rose,urbano latino,Colombia
Lira,pop,Uruguay
Lira,pop,Uruguay
Lira,pop,Uruguay
Lira,pop,Uruguay
Emilia,pop,Argentina
Emilia,pop,Argentina
Myke Towers,urbano latino,Argentina
Myke Towers,urbano latino,Argentina
Luck Ra,trap,Argentina
Nicki Nicole,urbano latino,Argentina
Nicki Nicole,urbano latino,Argentina
Shakira,pop,Bolivia
Paulo Londra,urbano latino,Argentina
Luck Ra,trap,Argentina
Luck Ra,trap,Argentina
Luck Ra,trap,Argentina
Abel Pintos,pop,Argentina
Feid,urbano latino,Chile
Feid,urbano latino,Chile
FloyyMenor,reggaeton,Argentina
Nicki Nicole,urbano latino,Argentina
Big One,trap,Argentina
Maria Becerra,urbano latino,Argentina
Trueno,urbano latino,Argentina
ECKO,hip hop,Argentina
