id,label,popularity,type,main_continent
5KKpBU5eC2tJDzf0wmlRp2,RAYE,80.0,Artist,Europe
5VadK1havLhK1OpKYsXv9y,D-Block Europe,76.0,Artist,Europe
07h4CCFmlXkwx0g4PL5Uuh,Guy2Bezbar,66.0,Artist,Europe
5eDdy8QxB47JsLASK2FI1m,Noano,58.0,Artist,Europe
5eir5zFJpES4j7gsymbVyl,Ronnie Flex,70.0,Artist,Europe
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,78.0,Artist,Europe
5mZJerulcERBZV7xnhrVp1,Ryan Lewis,72.0,Artist,Europe
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,73.0,Artist,Europe
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,75.0,Artist,Europe
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,78.0,Artist,Europe
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,77.0,Artist,Europe
60df5JBRRPcnSpsIMxxwQm,Otis Redding,74.0,Artist,Europe
11oaKJc8rsz6x8YPVjca4X,Engel Montaz,72.0,Artist,Central America
0kwa5ELbi8xm7vbwywoLtg,Kuv507,64.0,Artist,Central America
0c0Yh1P4gMYmDwebhyzIDv,Latinnites Music,65.0,Artist,Central America
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,87.0,Artist,South America
5JMJt80HJWR1e4hMw63Z5t,Luis Vega,53.0,Artist,South America
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,84.0,Artist,South America
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,82.0,Artist,South America
1r4hJ1h58CWwUQe3MxPuau,Maluma,88.0,Artist,South America
66ihevNkSYNzRAl44dx6jJ,Carin Leon,87.0,Artist,Central America
6ndLrsgT3MV5CNxIrW71fw,DFZM,72.0,Artist,South America
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,88.0,Artist,South America
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,82.0,Artist,South America
4q3ewBCX7sLwd24euuV69X,Bad Bunny,96.0,Artist,Central America
1fctva4kpRbg2k3v7kwRuS,Rvssian,75.0,Artist,South America
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,94.0,Artist,South America
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,78.0,Artist,South America
1dKdetem2xEmjgvyymzytS,Grupo Firme,82.0,Artist,South America
0dUyjgCyjfj5eMx6bX2TWf,FMK,69.0,Artist,South America
2jSGzJw0ebJLu7OLVSOcBP,Plan B,81.0,Artist,Central America
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,93.0,Artist,North America
18dspUI6gqabm5XCC2RcUD,SOG,71.0,Artist,South America
5szJHKg5xeUlQ9pTqzdpic,Taiu,71.0,Artist,South America
0OTHm6AFLxgeTm0gHNOuWi,De Parranda,63.0,Artist,South America
3qsKSpcV3ncke3hw52JSMB,Young Miko,80.0,Artist,South America
0wdQR6Qd64uSVhNJy7M2F0,JAVVI ELIAS,38.0,Artist,South America
6aoGgTKGqtsjj48ymcNs4Z,MC Tuto,83.0,Artist,South America
6XX6KGpomRDPmGGm7bofCK,DJ Glenner,78.0,Artist,South America
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,87.0,Artist,South America
6vTqEFbTtTRJsuIpzZgjxi,Grupo Menos É Mais,81.0,Artist,South America
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,82.0,Artist,South America
5Dz2FizMLqV0Cr3c8uhEcF,MC Cebezinho,76.0,Artist,South America
1b8S7EPzdckRyIh0uSbOMI,DJ Oreia,75.0,Artist,South America
64DTkZLH6KkkMwZEEZ5VWC,Love Funk,75.0,Artist,South America
5InVWl8IZB8zFAoNa5roKm,Mc Kako,76.0,Artist,South America
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,80.0,Artist,South America
1DuBkL1pAgaZQHXKPiVr08,Léo Foguete,74.0,Artist,South America
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,75.0,Artist,South America
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,71.0,Artist,South America
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,80.0,Artist,South America
2CKOmarVWvWqkNWUatHCex,Ana Castela,81.0,Artist,South America
0xj9MJx9r0wO2o4aqdergP,DJ TOPO,73.0,Artist,South America
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,74.0,Artist,South America
70jpkgy5oGT4YjaGFpCpk7,MC LUUKY,80.0,Artist,South America
7wLAecYIgstxcjqe6JwT3w,DJ JB Mix,68.0,Artist,South America
5s27i7oqhNWIcE4HeoVdq0,MC GP,78.0,Artist,South America
2f8xoxornfSw6ePzgyM9NO,MC Jvila,72.0,Artist,South America
