"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country","",""
"22","Something in the Orange","[40ZNYROS4zLfyyBSs2PGe2]","0.369","0.192","4","-12.151","0","0.0400","0.55500","0.000008","0.0954","0.148","175.212","audio_features","3WMj8moIAXJhHsyLaqIIHI","spotify:track:3WMj8moIAXJhHsyLaqIIHI","https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI","https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI","228013","3","Canada","",""
"23","Too Sweet","[2FXC3k01G6Gw61bmprjgqS]","0.740","0.643","10","-5.446","1","0.0413","0.04100","0.002290","0.0407","0.960","117.025","audio_features","19XpFsce28aByvCC4g89tJ","spotify:track:19XpFsce28aByvCC4g89tJ","https://api.spotify.com/v1/tracks/19XpFsce28aByvCC4g89tJ","https://api.spotify.com/v1/audio-analysis/19XpFsce28aByvCC4g89tJ","251424","4","Canada","",""
"24","HOT TO GO!","[7GlBOeep6PqTfFi59PTUUN]","0.742","0.757","6","-4.981","1","0.0421","0.01870","0.000000","0.3050","0.957","139.982","audio_features","4xdBrk0nFZaP54vvZj0yx7","spotify:track:4xdBrk0nFZaP54vvZj0yx7","https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7","https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7","184841","4","Canada","",""
"25","Stargazing","[3bO19AOone0ubCsfDXDtYt]","0.635","0.601","1","-6.129","0","0.0295","0.24600","0.000000","0.1100","0.332","123.994","audio_features","3Vr3zh0r7ALn8VLqCiRR10","spotify:track:3Vr3zh0r7ALn8VLqCiRR10","https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10","https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10","172533","4","Canada","",""
"26","All I Want for Christmas Is You","[4iHNK0tOyZPYnBU7nGAgpQ]","0.336","0.627","7","-7.463","1","0.0384","0.16400","0.000000","0.0708","0.350","150.273","audio_features","0bYg9bo50gSsH3LtXe2SQn","spotify:track:0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn","241107","4","Canada","",""
"27","This World's A Giant","[40ZNYROS4zLfyyBSs2PGe2]","0.420","0.297","1","-11.069","1","0.0503","0.86900","0.000282","0.1120","0.204","82.876","audio_features","4CD5aJNhq5fGYu3QaHJrm8","spotify:track:4CD5aJNhq5fGYu3QaHJrm8","https://api.spotify.com/v1/tracks/4CD5aJNhq5fGYu3QaHJrm8","https://api.spotify.com/v1/audio-analysis/4CD5aJNhq5fGYu3QaHJrm8","216160","4","Canada","",""
"28","Who","[1oSPZhvZMIrWW5I41kPkkY]","0.660","0.756","0","-3.743","0","0.0320","0.00289","0.000000","0.1930","0.838","116.034","audio_features","7tI8dRuH2Yc6RuoTjxo4dU","spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU","https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU","170888","4","Canada","",""
"29","FE!N (feat. Playboi Carti)","[0Y5tJX1MQlPlqiwlOH1tJY, 699OTQXzgjhIYAHMy9RyPD]","0.569","0.882","3","-2.777","0","0.0600","0.03160","0.000000","0.1420","0.201","148.038","audio_features","42VsgItocQwOQC3XWZ8JNA","spotify:track:42VsgItocQwOQC3XWZ8JNA","https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA","https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA","191701","4","Canada","",""
"30","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","[4V8LLVI7PbaPR0K2TGSxFF, 2qoQgPAilErOKCwE2Y8wOG, 3DbwFQlvLxRSi2uX8mf81A, 55Aa2cqylxrFIXC767Z865]","0.505","0.812","1","-3.986","1","0.4610","0.28500","0.000000","0.4440","0.664","80.090","audio_features","3tFed7YsjGnIfxeLEQwx3R","spotify:track:3tFed7YsjGnIfxeLEQwx3R","https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R","https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R","255916","4","Canada","",""
"31","Bed Chem","[74KM79TiuVKeVCqs8QtB0B]","0.739","0.727","11","-5.968","0","0.0426","0.06780","0.000000","0.1040","0.676","94.990","audio_features","1UHS8Rf6h5Ar3CDWRd3wjF","spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF","https://api.spotify.com/v1/tracks/1UHS8Rf6h5Ar3CDWRd3wjF","https://api.spotify.com/v1/audio-analysis/1UHS8Rf6h5Ar3CDWRd3wjF","171870","4","Canada","",""
