"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"30","callaito","[44cW3xznP61BXbu0e7fgxn, 6GlX3FdCQrMftGfVaWcmPZ, 12lHTAdc9T204lw5qPtasv]","0.615","0.751","8","-4.943","0","0.2780","0.48400","0.000688","0.1360","0.747","92.616","audio_features","7GIXn9cxzEhZa63bzoxCqK","spotify:track:7GIXn9cxzEhZa63bzoxCqK","https://api.spotify.com/v1/tracks/7GIXn9cxzEhZa63bzoxCqK","https://api.spotify.com/v1/audio-analysis/7GIXn9cxzEhZa63bzoxCqK","132766","4","Dominica"
"31","PERRO NEGRO","[4q3ewBCX7sLwd24euuV69X, 2LRoIwlKmHjgvigdNGBHNo]","0.911","0.778","5","-2.248","1","0.2620","0.08870","0.000022","0.1790","0.345","96.057","audio_features","7iQXYTyuG13aoeHxGG28Nh","spotify:track:7iQXYTyuG13aoeHxGG28Nh","https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh","https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh","162768","4","Dominica"
"32","Back To Back","[0XXR1ghu7pFEcfdmhq52E9, 1f7FtdbdaRjeeOr0gK9f3L]","0.598","0.822","11","-3.649","1","0.3930","0.54700","0.000000","0.7170","0.608","97.776","audio_features","14ljxdLzjTxpfSA5oPee59","spotify:track:14ljxdLzjTxpfSA5oPee59","https://api.spotify.com/v1/tracks/14ljxdLzjTxpfSA5oPee59","https://api.spotify.com/v1/audio-analysis/14ljxdLzjTxpfSA5oPee59","139743","4","Dominica"
"33","Mejor","[0b4EVanoJb8wkWF7QUA3uY, 6GlX3FdCQrMftGfVaWcmPZ]","0.757","0.746","0","-3.665","1","0.0428","0.56000","0.000001","0.2350","0.393","95.934","audio_features","2VyQdvvOsNifCt5DrT0NS1","spotify:track:2VyQdvvOsNifCt5DrT0NS1","https://api.spotify.com/v1/tracks/2VyQdvvOsNifCt5DrT0NS1","https://api.spotify.com/v1/audio-analysis/2VyQdvvOsNifCt5DrT0NS1","148750","4","Dominica"
"34","LUNA","[2LRoIwlKmHjgvigdNGBHNo, 7jAs1uPnpfNmT6e5qtEPxq]","0.774","0.860","7","-2.888","0","0.1300","0.13100","0.000000","0.1160","0.446","100.019","audio_features","7bywjHOc0wSjGGbj04XbVi","spotify:track:7bywjHOc0wSjGGbj04XbVi","https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi","https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi","196800","4","Dominica"
"35","Die With A Smile","[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]","0.521","0.592","6","-7.777","0","0.0304","0.30800","0.000000","0.1220","0.535","157.969","audio_features","2plbrEY59IikOBgBGLjaoe","spotify:track:2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe","251668","3","Dominica"
"36","Who","[1oSPZhvZMIrWW5I41kPkkY]","0.660","0.756","0","-3.743","0","0.0320","0.00289","0.000000","0.1930","0.838","116.034","audio_features","7tI8dRuH2Yc6RuoTjxo4dU","spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU","https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU","170888","4","Dominica"
"37","Santa","[1fctva4kpRbg2k3v7kwRuS, 1mcTU81TzQhprhouKaTkpq, 3ZpEKRjHaHANcpk10u6Ntq]","0.725","0.709","3","-5.017","0","0.1290","0.32100","0.000189","0.1140","0.648","99.993","audio_features","6a9Z1jUms915w4O7N1PxjY","spotify:track:6a9Z1jUms915w4O7N1PxjY","https://api.spotify.com/v1/tracks/6a9Z1jUms915w4O7N1PxjY","https://api.spotify.com/v1/audio-analysis/6a9Z1jUms915w4O7N1PxjY","193039","4","Dominica"
"38","Dicelo Si Tu la Vez","[0B4uq7LA4vdVwFPDoOcVtw]","0.669","0.734","1","-4.874","1","0.4490","0.09840","0.000003","0.6580","0.829","191.625","audio_features","5HAZBGTTjn6RrnM7lN50vd","spotify:track:5HAZBGTTjn6RrnM7lN50vd","https://api.spotify.com/v1/tracks/5HAZBGTTjn6RrnM7lN50vd","https://api.spotify.com/v1/audio-analysis/5HAZBGTTjn6RrnM7lN50vd","125625","3","Dominica"
"39","Cuero Caro","[6GlX3FdCQrMftGfVaWcmPZ, 0tR60pwxQ5WKjPxQcKoCQ7]","0.550","0.615","6","-11.445","1","0.6250","0.33400","0.000000","0.1880","0.634","90.649","audio_features","7axxLnHLlcHeXkc4Si82zN","spotify:track:7axxLnHLlcHeXkc4Si82zN","https://api.spotify.com/v1/tracks/7axxLnHLlcHeXkc4Si82zN","https://api.spotify.com/v1/audio-analysis/7axxLnHLlcHeXkc4Si82zN","158242","4","Dominica"
"40","Suano","[6GlX3FdCQrMftGfVaWcmPZ, 6kq4GHwUcUojGIu0ziSNXf]","0.782","0.840","1","-4.843","1","0.0598","0.27100","0.002120","0.1110","0.606","104.973","audio_features","79OU5n2Y8jMcWgYZJ2DhAd","spotify:track:79OU5n2Y8jMcWgYZJ2DhAd","https://api.spotify.com/v1/tracks/79OU5n2Y8jMcWgYZJ2DhAd","https://api.spotify.com/v1/audio-analysis/79OU5n2Y8jMcWgYZJ2DhAd","137265","4","Dominica"
"41","Ante","[6GlX3FdCQrMftGfVaWcmPZ]","0.599","0.645","1","-7.162","0","0.4380","0.56100","0.000000","0.1000","0.864","98.952","audio_features","6GjJOJ3TWG4TTNmQ12fInn","spotify:track:6GjJOJ3TWG4TTNmQ12fInn","https://api.spotify.com/v1/tracks/6GjJOJ3TWG4TTNmQ12fInn","https://api.spotify.com/v1/audio-analysis/6GjJOJ3TWG4TTNmQ12fInn","125087","4","Dominica"
"42","Te la Parto - Remix","[0PPgD3dY7wrxsMe021mByK, 4ncaw2cfA3Wlly1tBD2eWt, 30TfJAUX5Aeh7qKjyndmsO]","0.587","0.600","5","-6.261","1","0.3300","0.07220","0.000142","0.5010","0.609","206.156","audio_features","1SwgbVS16zRVJTsMW3RHUR","spotify:track:1SwgbVS16zRVJTsMW3RHUR","https://api.spotify.com/v1/tracks/1SwgbVS16zRVJTsMW3RHUR","https://api.spotify.com/v1/audio-analysis/1SwgbVS16zRVJTsMW3RHUR","131273","3","Dominica"
"43","To No Morimo","[2dHbjVgpO3NvzY8D7yZvji]","0.537","0.900","0","-1.021","1","0.3940","0.05880","0.000709","0.0509","0.861","191.072","audio_features","0WjYqtGGmGoPEVGk5kFqu8","spotify:track:0WjYqtGGmGoPEVGk5kFqu8","https://api.spotify.com/v1/tracks/0WjYqtGGmGoPEVGk5kFqu8","https://api.spotify.com/v1/audio-analysis/0WjYqtGGmGoPEVGk5kFqu8","144005","3","Dominica"
"44","+57","[790FomKkXshlbRYZFtlgla, 2LRoIwlKmHjgvigdNGBHNo, 6ndLrsgT3MV5CNxIrW71fw, 3m5qlPf2OkihLz3dRYnkPA, 1vyhD5VmyZ7KMfW5gqLgo5, 1r4hJ1h58CWwUQe3MxPuau, 7j6DKwmjbxvpQO8h914uEz, 1TA5sGRlKUJXBN4ZyJuDIX]","0.848","0.712","1","-3.574","0","0.0981","0.22100","0.000000","0.1060","0.692","91.980","audio_features","3mg9jYNC1NihbthlglzrWP","spotify:track:3mg9jYNC1NihbthlglzrWP","https://api.spotify.com/v1/tracks/3mg9jYNC1NihbthlglzrWP","https://api.spotify.com/v1/audio-analysis/3mg9jYNC1NihbthlglzrWP","298131","4","Dominica"
"45","Tuwi Tuwi","[0B4uq7LA4vdVwFPDoOcVtw, 2dHbjVgpO3NvzY8D7yZvji]","0.870","0.506","2","-8.954","1","0.4980","0.03670","0.000021","0.0480","0.705","129.637","audio_features","4JfRDEkkMYiLp76wepG9Vw","spotify:track:4JfRDEkkMYiLp76wepG9Vw","https://api.spotify.com/v1/tracks/4JfRDEkkMYiLp76wepG9Vw","https://api.spotify.com/v1/audio-analysis/4JfRDEkkMYiLp76wepG9Vw","135231","4","Dominica"
"46","Seco","[6GlX3FdCQrMftGfVaWcmPZ, 2kF83E9c7WmW5XdqwUrJd2]","0.572","0.668","1","-4.019","1","0.1960","0.32400","0.000003","0.3380","0.718","91.342","audio_features","3HBKC7ziF2MyZVbCpRnepX","spotify:track:3HBKC7ziF2MyZVbCpRnepX","https://api.spotify.com/v1/tracks/3HBKC7ziF2MyZVbCpRnepX","https://api.spotify.com/v1/audio-analysis/3HBKC7ziF2MyZVbCpRnepX","165161","4","Dominica"
"47","Por un Segundo","[1qto4hHid1P71emI6Fd8xi]","0.811","0.562","5","-10.183","0","0.0368","0.13700","0.000000","0.0623","0.965","129.039","audio_features","2MioxSroS0g1mi24LLfcnq","spotify:track:2MioxSroS0g1mi24LLfcnq","https://api.spotify.com/v1/tracks/2MioxSroS0g1mi24LLfcnq","https://api.spotify.com/v1/audio-analysis/2MioxSroS0g1mi24LLfcnq","255027","4","Dominica"
"48","Soltera","[6GlX3FdCQrMftGfVaWcmPZ]","0.644","0.690","1","-8.382","1","0.2190","0.10700","0.000000","0.3280","0.442","95.019","audio_features","5tzUJfMnLfAsjliIvdQl7Y","spotify:track:5tzUJfMnLfAsjliIvdQl7Y","https://api.spotify.com/v1/tracks/5tzUJfMnLfAsjliIvdQl7Y","https://api.spotify.com/v1/audio-analysis/5tzUJfMnLfAsjliIvdQl7Y","146526","4","Dominica"
"49","Cierra La Puerta","[0XXR1ghu7pFEcfdmhq52E9, 6GlX3FdCQrMftGfVaWcmPZ]","0.583","0.589","11","-7.911","0","0.3690","0.66300","0.000000","0.1890","0.655","88.600","audio_features","4jz9oKHdzwfNZAJXGN3GuZ","spotify:track:4jz9oKHdzwfNZAJXGN3GuZ","https://api.spotify.com/v1/tracks/4jz9oKHdzwfNZAJXGN3GuZ","https://api.spotify.com/v1/audio-analysis/4jz9oKHdzwfNZAJXGN3GuZ","129335","4","Dominica"
