position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
5,familie,[4QvgGvpgzgyUOo8Yp8LDm9],0.67,0.827,9,-4.481,1,0.0797,0.0516,0.0,0.0357,0.761,95.472,audio_features,4PCQHOJFMV9BWq46UMVf2l,spotify:track:4PCQHOJFMV9BWq46UMVf2l,https://api.spotify.com/v1/tracks/4PCQHOJFMV9BWq46UMVf2l,https://api.spotify.com/v1/audio-analysis/4PCQHOJFMV9BWq46UMVf2l,222714,4,Japan
6,ケセラセラ,[4QvgGvpgzgyUOo8Yp8LDm9],0.756,0.578,6,-4.575,0,0.0327,0.0306,0.0,0.0534,0.677,115.004,audio_features,0teqQ0PYqVDyyXJuPOyMhu,spotify:track:0teqQ0PYqVDyyXJuPOyMhu,https://api.spotify.com/v1/tracks/0teqQ0PYqVDyyXJuPOyMhu,https://api.spotify.com/v1/audio-analysis/0teqQ0PYqVDyyXJuPOyMhu,272227,4,Japan
7,NEW LOOK,[0IwZVmMMGE7nNXS7vN9SIo],0.516,0.83,2,-4.114,1,0.134,0.177,2e-06,0.0921,0.427,136.033,audio_features,2dcUJfnd2BAKS7jUSdlmmO,spotify:track:2dcUJfnd2BAKS7jUSdlmmO,https://api.spotify.com/v1/tracks/2dcUJfnd2BAKS7jUSdlmmO,https://api.spotify.com/v1/audio-analysis/2dcUJfnd2BAKS7jUSdlmmO,196680,4,Japan
8,Whiplash,[6YVMFz59CuY7ngCxTxjpxE],0.863,0.9,10,-2.974,0,0.0448,0.0953,0.0212,0.0786,0.748,126.023,audio_features,3coRPMnFg2dJcPu5RMloa9,spotify:track:3coRPMnFg2dJcPu5RMloa9,https://api.spotify.com/v1/tracks/3coRPMnFg2dJcPu5RMloa9,https://api.spotify.com/v1/audio-analysis/3coRPMnFg2dJcPu5RMloa9,183227,4,Japan
9,Same Blue,[5Vo1hnCRmCM6M4thZCInCj],0.496,0.948,5,-5.788,0,0.0816,0.0155,0.0,0.11,0.158,92.026,audio_features,2cupzYHOSLmMqDHRVQfI9j,spotify:track:2cupzYHOSLmMqDHRVQfI9j,https://api.spotify.com/v1/tracks/2cupzYHOSLmMqDHRVQfI9j,https://api.spotify.com/v1/audio-analysis/2cupzYHOSLmMqDHRVQfI9j,237837,3,Japan
10,花束,[6rs1KAoQnFalSqSU4LTh8g],0.519,0.713,2,-3.612,1,0.0324,0.0178,0.0,0.353,0.505,159.963,audio_features,3QIAwtEEDOrv0g5NKCGrXZ,spotify:track:3QIAwtEEDOrv0g5NKCGrXZ,https://api.spotify.com/v1/tracks/3QIAwtEEDOrv0g5NKCGrXZ,https://api.spotify.com/v1/audio-analysis/3QIAwtEEDOrv0g5NKCGrXZ,286053,4,Japan
11,Bling-Bang-Bang-Born,[0pWR7TsFhvSCnbmHDjWgrE],0.853,0.822,6,-6.836,0,0.246,0.0841,0.00985,0.166,0.746,157.013,audio_features,0kdqcbwei4MDWFEX5f33yG,spotify:track:0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/tracks/0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/audio-analysis/0kdqcbwei4MDWFEX5f33yG,168136,4,Japan
12,青と夏,[4QvgGvpgzgyUOo8Yp8LDm9],0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,audio_features,5BC6kr6etk2Y9J62AyI4i3,spotify:track:5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/tracks/5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/audio-analysis/5BC6kr6etk2Y9J62AyI4i3,270027,4,Japan
13,Hai Yorokonde,[3qQKrWwcqJlE4OS4e1ox7x],0.784,0.682,11,-11.627,0,0.0692,0.0763,0.000101,0.317,0.826,147.054,audio_features,6woV8uWxn7rcLZxJKYruS1,spotify:track:6woV8uWxn7rcLZxJKYruS1,https://api.spotify.com/v1/tracks/6woV8uWxn7rcLZxJKYruS1,https://api.spotify.com/v1/audio-analysis/6woV8uWxn7rcLZxJKYruS1,161633,4,Japan
14,ダンスホール,[4QvgGvpgzgyUOo8Yp8LDm9],0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,audio_features,4NaaF28BeO9WzjDrSS71Nz,spotify:track:4NaaF28BeO9WzjDrSS71Nz,https://api.spotify.com/v1/tracks/4NaaF28BeO9WzjDrSS71Nz,https://api.spotify.com/v1/audio-analysis/4NaaF28BeO9WzjDrSS71Nz,203150,4,Japan
15,I wonder,[71UIOLnsacxQHlU55TvfiH],0.785,0.618,6,-3.865,1,0.059,0.512,0.0,0.0922,0.866,124.957,audio_features,0voOaunLYYqPHrsgXbFVlW,spotify:track:0voOaunLYYqPHrsgXbFVlW,https://api.spotify.com/v1/tracks/0voOaunLYYqPHrsgXbFVlW,https://api.spotify.com/v1/audio-analysis/0voOaunLYYqPHrsgXbFVlW,158343,4,Japan
16,Soranji,[4QvgGvpgzgyUOo8Yp8LDm9],0.48,0.669,5,-5.168,1,0.0431,0.0693,0.0,0.149,0.378,155.89,audio_features,3YML5IHoqWbw9c9vJJvrvM,spotify:track:3YML5IHoqWbw9c9vJJvrvM,https://api.spotify.com/v1/tracks/3YML5IHoqWbw9c9vJJvrvM,https://api.spotify.com/v1/audio-analysis/3YML5IHoqWbw9c9vJJvrvM,343253,4,Japan
17,点描の唄,"[4QvgGvpgzgyUOo8Yp8LDm9, 71hQB5jxdNiHk5gzZRhicQ]",0.502,0.631,0,-4.612,1,0.0272,0.447,0.0,0.103,0.31,152.015,audio_features,1sIIlVrnPhrvmTrHtzM7tV,spotify:track:1sIIlVrnPhrvmTrHtzM7tV,https://api.spotify.com/v1/tracks/1sIIlVrnPhrvmTrHtzM7tV,https://api.spotify.com/v1/audio-analysis/1sIIlVrnPhrvmTrHtzM7tV,307067,4,Japan
18,幾億光年,[63ylN6WBUUxxMsySiDmr0B],0.558,0.79,6,-4.372,1,0.0411,0.0138,0.0,0.224,0.543,95.607,audio_features,4dmruTsdHIOjfOIeaFitXK,spotify:track:4dmruTsdHIOjfOIeaFitXK,https://api.spotify.com/v1/tracks/4dmruTsdHIOjfOIeaFitXK,https://api.spotify.com/v1/audio-analysis/4dmruTsdHIOjfOIeaFitXK,276918,4,Japan
19,新しい恋人達に,[6rs1KAoQnFalSqSU4LTh8g],0.299,0.626,5,-3.985,1,0.0324,0.287,0.0,0.088,0.314,145.404,audio_features,5LclntckGFFGFUVGJk9Z4x,spotify:track:5LclntckGFFGFUVGJk9Z4x,https://api.spotify.com/v1/tracks/5LclntckGFFGFUVGJk9Z4x,https://api.spotify.com/v1/audio-analysis/5LclntckGFFGFUVGJk9Z4x,286547,4,Japan
20,高嶺の花子さん,[6rs1KAoQnFalSqSU4LTh8g],0.54,0.923,9,-2.838,1,0.0623,0.066,0.0,0.124,0.343,137.977,audio_features,2jdbZGFp8KVTuk0YxDNL4l,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,294813,4,Japan
21,Kaiju no Hanauta,[2IUl3m1H1EQ7QfNbNWvgru],0.335,0.943,2,-3.176,1,0.067,0.00334,0.0,0.324,0.64,75.093,audio_features,1pCcNaCodPssCc8Aq68gPS,spotify:track:1pCcNaCodPssCc8Aq68gPS,https://api.spotify.com/v1/tracks/1pCcNaCodPssCc8Aq68gPS,https://api.spotify.com/v1/audio-analysis/1pCcNaCodPssCc8Aq68gPS,224805,4,Japan
22,風神,[2IUl3m1H1EQ7QfNbNWvgru],0.707,0.639,7,-3.071,1,0.0369,0.0231,0.0,0.213,0.698,96.984,audio_features,00GDUNeJd97qjKp2yrx0OC,spotify:track:00GDUNeJd97qjKp2yrx0OC,https://api.spotify.com/v1/tracks/00GDUNeJd97qjKp2yrx0OC,https://api.spotify.com/v1/audio-analysis/00GDUNeJd97qjKp2yrx0OC,235543,4,Japan
23,ねっこ,[6wxfx1yhyqjCPYwwxJktR2],0.46,0.736,5,-7.09,0,0.0709,0.101,9.7e-05,0.275,0.521,94.753,audio_features,4btYb7Tfjw5bQazC6bQXpl,spotify:track:4btYb7Tfjw5bQazC6bQXpl,https://api.spotify.com/v1/tracks/4btYb7Tfjw5bQazC6bQXpl,https://api.spotify.com/v1/audio-analysis/4btYb7Tfjw5bQazC6bQXpl,239729,4,Japan
24,Magic,[4QvgGvpgzgyUOo8Yp8LDm9],0.671,0.758,7,-3.793,1,0.0474,0.0604,0.0,0.332,0.537,117.51,audio_features,170XOP1T4MvY9TLTgPw07D,spotify:track:170XOP1T4MvY9TLTgPw07D,https://api.spotify.com/v1/tracks/170XOP1T4MvY9TLTgPw07D,https://api.spotify.com/v1/audio-analysis/170XOP1T4MvY9TLTgPw07D,263107,4,Japan
25,水平線,[6rs1KAoQnFalSqSU4LTh8g],0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,audio_features,3RvdkNMcSy71m0aT6UF9Uf,spotify:track:3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/tracks/3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/audio-analysis/3RvdkNMcSy71m0aT6UF9Uf,288013,4,Japan
26,カーテンコール,[0ixzjrK1wkN2zWBXt3VW3W],0.545,0.905,5,-3.823,1,0.0684,0.103,0.0,0.182,0.735,141.131,audio_features,1nysdCpKAh6yif4JkmoiNy,spotify:track:1nysdCpKAh6yif4JkmoiNy,https://api.spotify.com/v1/tracks/1nysdCpKAh6yif4JkmoiNy,https://api.spotify.com/v1/audio-analysis/1nysdCpKAh6yif4JkmoiNy,243027,4,Japan
27,晩餐歌,[1Y5vJqABeI6QI6R95EDV6o],0.649,0.641,8,-4.665,1,0.0251,0.433,0.0,0.11,0.63,102.983,audio_features,2cxcqKwQtfKq7giphxjzOu,spotify:track:2cxcqKwQtfKq7giphxjzOu,https://api.spotify.com/v1/tracks/2cxcqKwQtfKq7giphxjzOu,https://api.spotify.com/v1/audio-analysis/2cxcqKwQtfKq7giphxjzOu,215853,4,Japan
28,INZM,[4XFkDALFTsSHVnRtJSsaMN],0.71,0.813,0,-5.009,1,0.219,0.0109,0.0,0.177,0.558,113.005,audio_features,1JdUw14vtWg9Vt4aRfHqwl,spotify:track:1JdUw14vtWg9Vt4aRfHqwl,https://api.spotify.com/v1/tracks/1JdUw14vtWg9Vt4aRfHqwl,https://api.spotify.com/v1/audio-analysis/1JdUw14vtWg9Vt4aRfHqwl,214242,4,Japan
29,GOAT,[4XFkDALFTsSHVnRtJSsaMN],0.664,0.911,9,-2.843,1,0.312,0.0307,0.0,0.14,0.741,179.971,audio_features,7rA2RuTx1dHadrZcoKh8O9,spotify:track:7rA2RuTx1dHadrZcoKh8O9,https://api.spotify.com/v1/tracks/7rA2RuTx1dHadrZcoKh8O9,https://api.spotify.com/v1/audio-analysis/7rA2RuTx1dHadrZcoKh8O9,160795,4,Japan
30,CRAZY,[4SpbR6yFEvexJuaBpgAU5p],0.802,0.899,11,-2.223,0,0.126,0.00953,0.000291,0.101,0.531,130.047,audio_features,4gxEY3Mh5FZZDAJAKPNrCS,spotify:track:4gxEY3Mh5FZZDAJAKPNrCS,https://api.spotify.com/v1/tracks/4gxEY3Mh5FZZDAJAKPNrCS,https://api.spotify.com/v1/audio-analysis/4gxEY3Mh5FZZDAJAKPNrCS,164554,4,Japan
31,HAPPY BIRTHDAY,[6rs1KAoQnFalSqSU4LTh8g],0.482,0.602,11,-4.365,1,0.0303,0.0702,0.0,0.0677,0.535,145.988,audio_features,4FMz2RFrbDGzJO7K4D0vS3,spotify:track:4FMz2RFrbDGzJO7K4D0vS3,https://api.spotify.com/v1/tracks/4FMz2RFrbDGzJO7K4D0vS3,https://api.spotify.com/v1/audio-analysis/4FMz2RFrbDGzJO7K4D0vS3,258333,4,Japan
32,Dear ex-girlfriends,[6sX1XKgDIiAcVZof0SgWUe],0.651,0.844,1,-4.663,0,0.0365,0.0417,0.0,0.209,0.759,121.974,audio_features,2vt1UH1cjwwDFCeo7qS5VN,spotify:track:2vt1UH1cjwwDFCeo7qS5VN,https://api.spotify.com/v1/tracks/2vt1UH1cjwwDFCeo7qS5VN,https://api.spotify.com/v1/audio-analysis/2vt1UH1cjwwDFCeo7qS5VN,248613,4,Japan
